Date,Costa_rica,Honduras,Mexico,Bolivia,Colombia,Praguay,Dominican
2014/1/4,239,160,214,217,2385,405,206
2014/1/11,257,155,1007,329,2509,678,234
2014/1/18,194,150,1095,426,2360,680,154
2014/1/25,146,135,1569,527,2459,678,158
2014/2/1,189,132,1305,733,2091,712,190
2014/2/8,152,121,1121,898,2062,665,162
2014/2/15,145,151,1280,916,2028,509,139
2014/2/22,132,174,1308,1154,2023,420,124
2014/3/1,96,208,1353,1170,1754,372,101
2014/3/8,75,231,1224,1138,1803,381,135
2014/3/15,94,211,1278,1559,1894,251,142
2014/3/22,71,228,1024,1471,1830,244,87
2014/3/29,95,196,1189,1398,1760,247,90
2014/4/5,90,239,1171,1398,2104,79,167
2014/4/12,77,172,1224,1482,1846,736,96
2014/4/19,67,146,792,1290,1740,334,64
2014/4/26,87,215,1040,985,1893,378,98
2014/5/3,103,222,1007,758,1852,303,83
2014/5/10,122,319,1120,835,1824,287,139
2014/5/17,97,333,1205,806,1820,10,121
2014/5/24,149,359,1586,657,1989,11,150
2014/5/31,195,379,1750,397,1714,12,187
2014/6/7,233,477,1772,325,2019,15,174
2014/6/14,255,569,1888,259,2116,41,148
2014/6/21,260,738,2167,180,1832,41,154
2014/6/28,304,866,2242,185,1740,17,117
2014/7/5,332,1034,2452,92,2114,36,144
2014/7/12,342,1148,2885,75,2160,154,125
2014/7/19,387,1122,2648,125,2102,83,97
2014/7/26,322,1324,2746,128,2115,133,83
2014/8/2,355,1215,2328,113,2035,158,87
2014/8/9,370,1173,2440,78,1844,107,84
2014/8/16,305,1243,2524,92,1893,131,71
2014/8/23,337,1324,2853,57,1917,92,58
2014/8/30,354,1130,3248,104,1750,62,67
2014/9/6,384,1169,3625,62,1881,8,80
2014/9/13,297,1023,3624,64,2136,198,85
2014/9/20,310,991,2693,64,2180,204,64
2014/9/27,278,1322,4460,55,2109,107,83
2014/10/4,234,1758,4902,2,2167,210,128
2014/10/11,225,2262,5784,427,2160,216,121
2014/10/18,230,2280,6261,1,2266,55,156
2014/10/25,198,2176,5848,4,2428,201,142
2014/11/1,232,1685,5247,2,2224,222,135
2014/11/8,189,1947,4853,1,2127,99,101
2014/11/15,219,1626,4976,1,2144,55,113
2014/11/22,252,1770,3579,1,2037,261,104
2014/11/29,226,1589,3791,1,1859,100,93
2014/12/6,203,1117,2785,2,2080,167,93
2014/12/13,227,961,1891,2,2155,158,79
2014/12/20,178,742,1516,1,2097,138,69
2014/12/27,139,485,615,3,2059,123,155
2015/1/3,91,809,438,2,2489,226,37
2015/1/10,173,970,540,91,2422,213,32
2015/1/17,110,963,892,113,2015,388,77
2015/1/24,105,946,1135,120,1951,237,86
2015/1/31,74,751,1151,154,1850,389,62
2015/2/7,79,672,1937,241,2123,295,74
2015/2/14,45,701,4223,269,1988,1096,96
2015/2/21,56,779,1237,242,2097,738,86
2015/2/28,46,679,1256,422,1926,1740,86
2015/3/7,53,865,1343,445,2126,1320,102
2015/3/14,49,677,1233,530,2021,4423,106
2015/3/21,46,669,1063,782,1975,2449,83
2015/3/28,31,656,1377,1199,1743,1759,138
2015/4/4,32,346,811,1185,1695,247,6
2015/4/11,32,1015,1474,1760,2127,4033,129
2015/4/18,51,1068,2173,1773,1819,1346,89
2015/4/25,35,1182,2157,1992,1763,4834,91
2015/5/2,43,1282,1753,2017,1929,1371,114
2015/5/9,55,1416,1800,1881,1879,4795,92
2015/5/16,51,1441,2136,1590,1860,1152,140
2015/5/23,54,1635,2491,1487,1750,1398,104
2015/5/30,78,1758,2538,994,1689,4018,125
2015/6/6,143,862,3174,689,1711,1425,112
2015/6/13,126,3112,3354,817,1516,4502,130
2015/6/20,141,1726,4019,519,1532,1445,123
2015/6/27,178,1788,4300,326,1459,1077,164
2015/7/4,262,1503,4851,232,1593,1452,122
2015/7/11,237,1537,5425,117,1583,1539,211
2015/7/18,241,1268,5900,100,1434,1569,200
2015/7/25,290,1207,6571,94,1383,1599,257
2015/8/1,283,1024,6987,100,1375,1629,271
2015/8/8,367,906,7680,73,1360,1661,299
2015/8/15,398,915,7869,78,1285,1693,334
2015/8/22,423,775,8134,64,1367,1807,381
2015/8/29,429,667,8273,62,1422,1725,336
2015/9/5,461,554,9029,81,1463,403,364
2015/9/12,426,423,9136,71,1592,1758,488
2015/9/19,438,368,6040,101,1678,1871,558
2015/9/26,518,346,8727,99,1743,1907,480
2015/10/3,537,293,8639,149,1729,403,805
2015/10/10,554,291,8760,156,1734,1944,885
2015/10/17,596,345,8890,183,1751,7,698
2015/10/24,694,324,8514,220,1936,64,1115
2015/10/31,843,439,8001,209,1946,6886,1108
2015/11/7,886,468,6761,209,2163,1981,863
2015/11/14,992,487,7070,280,2254,2020,913
2015/11/21,1029,523,4977,292,2285,2058,802
2015/11/28,896,469,5769,449,2199,2163,721
2015/12/5,890,451,4407,281,2280,1425,587
2015/12/12,919,504,3558,400,2482,2205,443
2015/12/19,811,654,2036,464,2515,10449,505
2015/12/26,626,478,1315,407,2337,2247,319
2016/1/2,462,518,930,490,2589,17932,536
2016/1/9,1000,649,536,771,2819,194,225
2016/1/16,786,790,1450,1033,3036,160,350
2016/1/23,790,765,1526,1684,3158,150,386
2016/1/30,779,786,1597,2086,2915,112,369
2016/2/6,677,567,1475,1970,3316,445,373
2016/2/13,513,571,1864,2117,3203,1726,279
2016/2/20,459,497,2254,2378,3025,878,311
2016/2/27,371,424,2025,2400,2681,245,216
2016/3/5,287,547,1890,2185,2925,234,183
2016/3/12,226,480,1730,2022,2638,12973,168
2016/3/19,190,442,1634,1739,2194,648,151
2016/3/26,160,673,580,1247,2268,9165,113
2016/4/2,158,405,1026,1278,2980,2622,169
2016/4/9,133,589,1090,1328,2462,179,162
2016/4/16,151,450,1051,1234,2686,1461,131
2016/4/23,139,1139,1077,1171,2439,2851,139
2016/4/30,144,635,1083,761,2507,2766,449
2016/5/7,175,459,895,452,2565,524,96
2016/5/14,187,1346,1031,300,2708,7742,79
2016/5/21,248,789,1157,274,2863,3376,124
2016/5/28,290,468,1228,154,2578,2128,93
2016/6/4,330,1447,1268,95,2598,132,105
2016/6/11,393,477,1713,84,2568,996,151
2016/6/18,469,1405,1514,78,2417,424,156
2016/6/25,517,486,1581,86,2225,454,158
2016/7/2,576,1288,1762,60,1989,322,138
2016/7/9,581,564,2042,46,2070,1014,100
