date,bk,cm,chb,nks
2014/1/8,47,2,4,1
2014/1/15,47,2,4,1
2014/1/22,47,2,4,1
2014/1/29,47,2,4,1
2014/2/5,41,2,3,2
2014/2/12,36,1,3,3
2014/2/19,36,1,3,3
2014/2/26,36,1,3,3
2014/3/5,32,1,4,5
2014/3/12,28,0,6,7
2014/3/19,28,0,6,7
2014/3/26,28,0,6,7
2014/4/2,27,1,5,6
2014/4/9,20,1,3,3
2014/4/16,20,1,3,3
2014/4/23,20,1,3,3
2014/4/30,20,1,3,3
2014/5/7,18,3,3,5
2014/5/14,18,3,3,5
2014/5/21,18,3,3,5
2014/5/28,18,3,3,5
2014/6/4,21,8,4,8
2014/6/11,26,14,5,12
2014/6/18,26,14,5,12
2014/6/25,26,14,5,12
2014/7/2,27,16,5,13
2014/7/9,37,28,6,18
2014/7/16,37,28,6,18
2014/7/23,37,28,6,18
2014/7/30,37,28,6,18
2014/8/6,42,34,6,15
2014/8/13,44,36,6,14
2014/8/20,44,36,6,14
2014/8/27,44,36,6,14
2014/9/3,46,34,5,13
2014/9/10,50,29,4,11
2014/9/17,50,29,4,11
2014/9/24,50,29,4,11
2014/10/1,50,29,4,11
2014/10/8,56,15,5,7
2014/10/15,56,15,5,7
2014/10/22,56,15,5,7
2014/10/29,56,15,5,7
2014/11/5,73,11,7,8
2014/11/12,86,7,9,9
2014/11/19,86,7,9,9
2014/11/26,86,7,9,9
2014/12/3,75,7,8,8
2014/12/10,49,5,6,6
2014/12/17,49,5,6,6
2014/12/24,49,5,6,6
2014/12/31,49,5,6,6
2015/1/7,64,4,14,3
2015/1/14,67,4,15,3
2015/1/21,67,4,15,3
2015/1/28,67,4,15,3
2015/2/4,59,3,12,3
2015/2/11,49,3,9,3
2015/2/18,49,3,9,3
2015/2/25,49,3,9,3
2015/3/4,46,2,9,3
2015/3/11,42,2,10,4
2015/3/18,42,2,10,4
2015/3/25,42,2,10,4
2015/4/1,42,2,10,4
2015/4/8,45,5,11,8
2015/4/15,45,5,11,8
2015/4/22,45,5,11,8
2015/4/29,45,5,11,8
2015/5/6,86,25,27,27
2015/5/13,103,33,33,34
2015/5/20,103,33,33,34
2015/5/27,103,33,33,34
2015/6/3,105,46,37,37
2015/6/10,110,79,45,44
2015/6/17,110,79,45,44
2015/6/24,110,79,45,44
2015/7/1,110,79,45,44
2015/7/8,165,124,65,68
2015/7/15,165,124,65,68
2015/7/22,165,124,65,68
2015/7/29,165,124,65,68
2015/8/5,218,148,66,78
2015/8/12,257,167,67,86
2015/8/19,257,167,67,86
2015/8/26,257,167,67,86
2015/9/2,263,174,63,88
2015/9/9,296,216,41,101
2015/9/16,296,216,41,101
2015/9/23,296,216,41,101
2015/9/30,296,216,41,101
2015/10/7,421,192,53,93
2015/10/14,442,188,55,91
2015/10/21,442,188,55,91
2015/10/28,442,188,55,91
2015/11/4,680,187,63,95
2015/11/11,997,186,74,99
2015/11/18,997,186,74,99
2015/11/25,997,186,74,99
2015/12/2,912,170,69,88
2015/12/9,400,74,43,23
2015/12/16,400,74,43,23
2015/12/23,400,74,43,23
2015/12/30,400,74,43,23
2016/1/6,281,33,35,20
2016/1/13,233,17,32,18
2016/1/20,233,17,32,18
2016/1/27,233,17,32,18
2016/2/3,196,14,28,17
2016/2/10,103,6,16,14
2016/2/17,103,6,16,14
2016/2/24,103,6,16,14
2016/3/2,98,6,16,13
2016/3/9,72,10,14,12
2016/3/16,72,10,14,12
2016/3/23,72,10,14,12
2016/3/30,72,10,14,12
2016/4/6,41,12,9,6
2016/4/13,29,13,7,4
2016/4/20,29,13,7,4
2016/4/27,29,13,7,4
2016/5/4,24,17,6,3
2016/5/11,18,22,5,1
2016/5/18,18,22,5,1
2016/5/25,18,22,5,1
2016/6/1,18,22,5,1
2016/6/8,15,61,2,3
2016/6/15,15,61,2,3
2016/6/22,15,61,2,3
2016/6/29,15,61,2,3
2016/7/6,36,168,3,6
2016/7/13,45,211,3,8
2016/7/20,45,211,3,8
2016/7/27,45,211,3,8
2016/8/3,53,240,5,10
2016/8/10,73,312,8,17
2016/8/17,73,312,8,17
2016/8/24,73,312,8,17
2016/8/31,73,312,8,17
2016/9/7,72,185,11,13
2016/9/14,72,163,11,12
2016/9/21,72,163,11,12
2016/9/28,72,163,11,12
2016/10/5,75,99,9,8
2016/10/12,78,50,8,6
2016/10/19,78,50,8,6
2016/10/26,78,50,8,6
2016/11/2,79,49,7,5
2016/11/9,85,42,4,4
2016/11/16,85,42,4,4
2016/11/23,85,42,4,4
2016/11/30,85,42,4,4
2016/12/7,69,18,3,2
2016/12/14,66,14,2,2
2016/12/21,66,14,2,2
2016/12/28,66,14,2,2
2017/1/4,58,11,4,2
2017/1/11,47,8,6,2
2017/1/18,47,8,6,2
2017/1/25,47,8,6,2
2017/2/1,47,8,6,2
2017/2/8,30,5,5,1
2017/2/15,30,5,5,1
2017/2/22,30,5,5,1
2017/3/1,30,5,5,1
2017/3/8,28,6,5,2
2017/3/15,28,6,5,2
2017/3/22,28,6,5,2
2017/3/29,28,6,5,2
2017/4/5,27,8,6,2
2017/4/12,26,9,6,2
2017/4/19,26,9,6,2
2017/4/26,26,9,6,2
2017/5/3,29,14,7,2
2017/5/10,36,27,9,2
2017/5/17,36,27,9,2
2017/5/24,36,27,9,2
2017/5/31,36,27,9,2
2017/6/7,71,50,17,9
2017/6/14,77,54,18,10
2017/6/21,77,54,18,10
2017/6/28,77,54,18,10
