DATE,STATION,NAME,rain,temp,pm10,o3,no2,td
1/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.1,84,90,48,12.7
1/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,25.5,84,119,63,13.2
1/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,26.2,103,95,57,14.8
1/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,26.7,101,52,34,13.2
1/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.1,95,69,52,10.3
1/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.9,78,61,46,11.4
1/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,88,64,55,9.9
1/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.4,79,36,47,10.7
1/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.9,95,38,33,10.1
1/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.2,67,48,33,8.45270936
1/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,67,49,30,10.7
1/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.5,64,40,24,11.6
1/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27,60,44,23,9
1/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.9,54,46,28,8.45270936
1/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.3,59,49,38,10.3
1/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23.8,65,50,43,11.6
1/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,25.1,72,44,25,11
1/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24.1,65,69,23,9.2
1/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23,69,68,39,8.45270936
1/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,24,81,27,37,11.4
1/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23.8,79,62,18,8.45270936
1/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,21.5,80,58,45,9.5
1/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,21.9,95,79,47,11
1/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,22.9,92,4,72,14.5
1/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,23.9,107,19.48403626,14.52718676,15.5
1/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,25.4,38.65825778,54,53,12.5
1/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,26.8,128,57,42,11.3
1/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.4,94,49,52,11.3
1/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,74,43,48,11.3
1/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.7,81,44,31,10.5
1/31/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.1,72,48,31,11.4
2/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.1,64,49,29,9.6
2/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.3,59,66,37,10.9
2/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.1,59,32,21,12
2/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.8,64,32,25,9.1
2/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.6,55,35,26,7.3
2/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.7,52,23,20,7.9
2/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,27.4,45,21,17,7.7
