DATE,STATION,NAME,rain,temp,pm10,o3,no2
1/1/2014,TH000048327,"CHIANG MAI, TH",6.574133559,19.7,56,43,20
1/2/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20.8,49,33,19
1/3/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,49,34,15
1/4/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.2,39,37,19
1/5/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.6,46,41,16
1/6/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.4,49,37,18
1/7/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.6,41,45,15
1/8/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20.8,39,41,19
1/9/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.9,41,39,18
1/10/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.3,48,39,18
1/11/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.1,53,42,18
1/12/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.4,48,38,21
1/13/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,42,41,19
1/14/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20.5,43,40,18
1/15/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20,45,35,20
1/16/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20,41,44,24
1/17/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20.1,46,28,13
1/18/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,44,31,13
1/19/2014,TH000048327,"CHIANG MAI, TH",6.574133559,18.8,35,36,18
1/20/2014,TH000048327,"CHIANG MAI, TH",6.574133559,19.7,46,32,11
1/21/2014,TH000048327,"CHIANG MAI, TH",6.574133559,19.4,54,10,21
1/22/2014,TH000048327,"CHIANG MAI, TH",6.574133559,18,55,38,27
1/23/2014,TH000048327,"CHIANG MAI, TH",6.574133559,17.7,53,58,25
1/24/2014,TH000048327,"CHIANG MAI, TH",6.574133559,18.3,50,4,18
1/25/2014,TH000048327,"CHIANG MAI, TH",6.574133559,19.9,52,23.81346484,10.61236185
1/26/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20.8,43.69746525,61,31
1/27/2014,TH000048327,"CHIANG MAI, TH",6.574133559,20.9,57,50,25
1/28/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.6,55,48,20
1/29/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.2,47,45,23
1/30/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.4,41,48,22
1/31/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.9,42,35,17
2/1/2014,TH000048327,"CHIANG MAI, TH",6.574133559,23.3,35,32,13
2/2/2014,TH000048327,"CHIANG MAI, TH",6.574133559,23.2,23,32,18
2/3/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.8,21,40,19
2/4/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.1,25,40,23
2/5/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.7,28,40,20
2/6/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.6,27,37,21
2/7/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,31,38,26
2/8/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.3,33,39,25
2/9/2014,TH000048327,"CHIANG MAI, TH",6.574133559,21.6,27,45,31
2/10/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.4,32,53,28
2/11/2014,TH000048327,"CHIANG MAI, TH",6.574133559,22.8,41,37,27
2/12/2014,TH000048327,"CHIANG MAI, TH",6.574133559,23,46,43,26
2/13/2014,TH000048327,"CHIANG MAI, TH",6.574133559,23.2,34,43,22
2/14/2014,TH000048327,"CHIANG MAI, TH",6.574133559,23.8,30,7,25
2/15/2014,TH000048327,"CHIANG MAI, TH",6.574133559,24.3,25,37,17
2/16/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.2,23,34,20
2/17/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.8,24,29,13
2/18/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.5,21,36,18
2/19/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.2,20,48,14
2/20/2014,TH000048327,"CHIANG MAI, TH",6.574133559,24.6,25,48,18
2/21/2014,TH000048327,"CHIANG MAI, TH",6.574133559,24.7,41,48,20
2/22/2014,TH000048327,"CHIANG MAI, TH",6.574133559,24.6,59,43,18
2/23/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.1,49,56,25
2/24/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.6,50,54,22
2/25/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.2,53,65,14
2/26/2014,TH000048327,"CHIANG MAI, TH",6.574133559,24.8,53,62,24
2/27/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.8,57,70,24
2/28/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.8,63,82,11
3/1/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.3,63,68,10.61236185
3/2/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.3,61,66,31
3/3/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.6,62,61,22
3/4/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.4,58,61,22
3/5/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.8,77,57,34
3/6/2014,TH000048327,"CHIANG MAI, TH",6.574133559,25.6,72,65,38
3/7/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.6,66,68,33
3/8/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.9,72,69,30
3/9/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.9,69,56,35
3/10/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.2,76,60,27
3/11/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.6,84,79,36
3/12/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.4,82,83,32
3/13/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.8,82,75,37
3/14/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.5,86,69,33
3/15/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.2,98,7,10.61236185
3/16/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.9,101,94,43
3/17/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.9,86,76,32
3/18/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.2,105,71,21
3/19/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.5,104,90,36
3/20/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.8,90,74,41
3/21/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.2,128,20,23
3/22/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.4,146,47,12
3/23/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.2,36,44,19
3/24/2014,TH000048327,"CHIANG MAI, TH",5.8,25.5,43,57,19
3/25/2014,TH000048327,"CHIANG MAI, TH",6.574133559,26.9,28,66,27
3/26/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.8,78,77,33
3/27/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.4,96,62,32
3/28/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.3,104,66,32
3/29/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.8,94,55,21
3/30/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.1,98,66,32
3/31/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.3,89,53,39
4/1/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.4,89,12,33
4/2/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.7,92,4,26
4/3/2014,TH000048327,"CHIANG MAI, TH",0.5,27.7,85,8,21
4/4/2014,TH000048327,"CHIANG MAI, TH",3,25.7,76,20,15
4/5/2014,TH000048327,"CHIANG MAI, TH",3.6,26.2,45,10,17
4/6/2014,TH000048327,"CHIANG MAI, TH",0,28.4,44,12,15
4/7/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.7,46,27,16
4/8/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.7,54,55,15
4/9/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.7,60,58,16
4/10/2014,TH000048327,"CHIANG MAI, TH",0.5,29.8,66,42,17
4/11/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.1,63,57,15
4/12/2014,TH000048327,"CHIANG MAI, TH",12.4,27.8,64,50,17
4/13/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.9,55,52,14
4/14/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.7,45,50,11
4/15/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29,41,61,9
4/16/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.9,36,55,13
4/17/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.4,47,65,12
4/18/2014,TH000048327,"CHIANG MAI, TH",6.574133559,31.4,43,23.81346484,13
4/19/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.7,33,23.81346484,12
4/20/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.4,36,37,13
4/21/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.6,30,38,12
4/22/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.7,56,36,14
4/23/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.5,60,44,13
4/24/2014,TH000048327,"CHIANG MAI, TH",6.574133559,32.2,69,35,11
4/25/2014,TH000048327,"CHIANG MAI, TH",6.574133559,31.2,68,39,8
4/26/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.9,59,40,8
4/27/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.4,51,28,15
4/28/2014,TH000048327,"CHIANG MAI, TH",0,30.7,55,28,10
4/29/2014,TH000048327,"CHIANG MAI, TH",9.1,29,51,30,11
4/30/2014,TH000048327,"CHIANG MAI, TH",5.8,25.8,35,34,11
5/1/2014,TH000048327,"CHIANG MAI, TH",0,26.9,41,35,13
5/2/2014,TH000048327,"CHIANG MAI, TH",0,28.9,44,23,9
5/3/2014,TH000048327,"CHIANG MAI, TH",72.1,27.8,47,26,10
5/4/2014,TH000048327,"CHIANG MAI, TH",0.8,28.4,43.69746525,31,9
5/5/2014,TH000048327,"CHIANG MAI, TH",23.6,28.1,47,26,9
5/6/2014,TH000048327,"CHIANG MAI, TH",0,27.4,37,30,10
5/7/2014,TH000048327,"CHIANG MAI, TH",4.8,26.2,41,21,12
5/8/2014,TH000048327,"CHIANG MAI, TH",3.8,29.7,40,14,6
5/9/2014,TH000048327,"CHIANG MAI, TH",0,29.4,51,14,10
5/10/2014,TH000048327,"CHIANG MAI, TH",25.4,27.9,37,21,11
5/11/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.1,38,24,10
5/12/2014,TH000048327,"CHIANG MAI, TH",6.6,29.8,37,17,7
5/13/2014,TH000048327,"CHIANG MAI, TH",1.5,28.9,24,27,10
5/14/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.9,37,24,7
5/15/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.1,34,25,10
5/16/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.8,35,25,10
5/17/2014,TH000048327,"CHIANG MAI, TH",26.9,28.3,37,20,9
5/18/2014,TH000048327,"CHIANG MAI, TH",7.9,27.4,37,17,7
5/19/2014,TH000048327,"CHIANG MAI, TH",6.574133559,27.7,21,18,8
5/20/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.4,26,15,8
5/21/2014,TH000048327,"CHIANG MAI, TH",0,28.9,22,19,7
5/22/2014,TH000048327,"CHIANG MAI, TH",0,29.3,22,21,8
5/23/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.3,22,23,8
5/24/2014,TH000048327,"CHIANG MAI, TH",6.574133559,31.2,26,22,8
5/25/2014,TH000048327,"CHIANG MAI, TH",6.574133559,31.7,29,22,13
5/26/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.5,30,25,14
5/27/2014,TH000048327,"CHIANG MAI, TH",6.9,29.2,38,29,10
5/28/2014,TH000048327,"CHIANG MAI, TH",9.4,28.6,32,18,9
5/29/2014,TH000048327,"CHIANG MAI, TH",0.5,26.9,26,30,10
5/30/2014,TH000048327,"CHIANG MAI, TH",19.3,27.7,22,21,10
5/31/2014,TH000048327,"CHIANG MAI, TH",22.6,27.9,27,17,6
6/1/2014,TH000048327,"CHIANG MAI, TH",12.7,27.3,20,25,9
6/2/2014,TH000048327,"CHIANG MAI, TH",0.5,28.9,17,24,9
6/3/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.1,23,26,11
6/4/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.4,30,24,10
6/5/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.9,32,20,9
6/6/2014,TH000048327,"CHIANG MAI, TH",2.3,27.7,21,20,7
6/7/2014,TH000048327,"CHIANG MAI, TH",1,28.3,20,13,4
6/8/2014,TH000048327,"CHIANG MAI, TH",0.8,28.2,14,11,8
6/9/2014,TH000048327,"CHIANG MAI, TH",11.9,27.5,15,15,10
6/10/2014,TH000048327,"CHIANG MAI, TH",0.5,28.8,19,37,8
6/11/2014,TH000048327,"CHIANG MAI, TH",0.3,28.4,21,20,7
6/12/2014,TH000048327,"CHIANG MAI, TH",0.5,28.7,18,13,10
6/13/2014,TH000048327,"CHIANG MAI, TH",7.6,27.3,19,12,9
6/14/2014,TH000048327,"CHIANG MAI, TH",2.8,27,18,23,7
6/15/2014,TH000048327,"CHIANG MAI, TH",0.3,27.7,21,15,8
6/16/2014,TH000048327,"CHIANG MAI, TH",9.7,27.1,21,17,9
6/17/2014,TH000048327,"CHIANG MAI, TH",6.1,27.2,20,18,8
6/18/2014,TH000048327,"CHIANG MAI, TH",3.3,27.9,23,16,7
6/19/2014,TH000048327,"CHIANG MAI, TH",0.8,27.7,20,14,6
6/20/2014,TH000048327,"CHIANG MAI, TH",0.8,28.5,26,16,6
6/21/2014,TH000048327,"CHIANG MAI, TH",0.3,29.1,33,19,7
6/22/2014,TH000048327,"CHIANG MAI, TH",0,29.8,33,17,8
6/23/2014,TH000048327,"CHIANG MAI, TH",1.8,28.6,29,16,7
6/24/2014,TH000048327,"CHIANG MAI, TH",0.3,29.1,29,15,8
6/25/2014,TH000048327,"CHIANG MAI, TH",1.8,27.8,22,21,5
6/26/2014,TH000048327,"CHIANG MAI, TH",0,27.7,23,8,11
6/27/2014,TH000048327,"CHIANG MAI, TH",0.3,28,25,23,10
6/28/2014,TH000048327,"CHIANG MAI, TH",0,29.4,34,18,8
6/29/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30,37,21,9
6/30/2014,TH000048327,"CHIANG MAI, TH",0.5,28.8,29,24,8
7/1/2014,TH000048327,"CHIANG MAI, TH",6.574133559,28.8,26,30,8
7/2/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.6,27,20,8
7/3/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29,20,23,11
7/4/2014,TH000048327,"CHIANG MAI, TH",6.574133559,29.9,21,26,8
7/5/2014,TH000048327,"CHIANG MAI, TH",6.574133559,30.2,26,22,14
7/6/2014,TH000048327,"CHIANG MAI, TH",5.6,28.8,29,6,18
7/7/2014,TH000048327,"CHIANG MAI, TH",4.3,26.9,32,7,12
7/8/2014,TH000048327,"CHIANG MAI, TH",9.4,25.8,26,7,9
7/9/2014,TH000048327,"CHIANG MAI, TH",4.1,27.1,23,13,7
7/10/2014,TH000048327,"CHIANG MAI, TH",0,28,18,26,7
