DATE,STATION,NAME,rain,temp,pm10,o3,no2
1/1/2014,TH000048459,"CHON BURI, TH",8.320996441,23.7,29.97211155,19.47660691,8.663632423
1/2/2014,TH000048459,"CHON BURI, TH",8.320996441,24.1,29.97211155,19.47660691,8.663632423
1/3/2014,TH000048459,"CHON BURI, TH",8.320996441,26,29.97211155,8,58
1/4/2014,TH000048459,"CHON BURI, TH",8.320996441,26.2,29.97211155,19.47660691,8.663632423
1/5/2014,TH000048459,"CHON BURI, TH",8.320996441,26.3,29.97211155,19.47660691,8.663632423
1/6/2014,TH000048459,"CHON BURI, TH",8.320996441,27.2,29.97211155,19.47660691,8.663632423
1/7/2014,TH000048459,"CHON BURI, TH",8.320996441,27.1,29.97211155,11,36
1/8/2014,TH000048459,"CHON BURI, TH",8.320996441,28.2,29.97211155,14,33
1/9/2014,TH000048459,"CHON BURI, TH",8.320996441,28.3,29.97211155,11,38
1/10/2014,TH000048459,"CHON BURI, TH",8.320996441,26.5,29.97211155,20,9
1/11/2014,TH000048459,"CHON BURI, TH",8.320996441,27.3,29.97211155,28,8.663632423
1/12/2014,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,28,8
1/13/2014,TH000048459,"CHON BURI, TH",8.320996441,26.3,29.97211155,23,10
1/14/2014,TH000048459,"CHON BURI, TH",8.320996441,24.3,29.97211155,26,8.663632423
1/15/2014,TH000048459,"CHON BURI, TH",8.320996441,22.9,29.97211155,29,12
1/16/2014,TH000048459,"CHON BURI, TH",8.320996441,22.4,29.97211155,35,13
1/17/2014,TH000048459,"CHON BURI, TH",8.320996441,23.7,29.97211155,29,17
1/18/2014,TH000048459,"CHON BURI, TH",8.320996441,23,29.97211155,19.47660691,8.663632423
1/19/2014,TH000048459,"CHON BURI, TH",8.320996441,22.3,29.97211155,53,7
1/20/2014,TH000048459,"CHON BURI, TH",8.320996441,23.6,29.97211155,19.47660691,8.663632423
1/21/2014,TH000048459,"CHON BURI, TH",8.320996441,22.4,29.97211155,19.47660691,8.663632423
1/22/2014,TH000048459,"CHON BURI, TH",8.320996441,20.7,29.97211155,19.47660691,8.663632423
1/23/2014,TH000048459,"CHON BURI, TH",8.320996441,21.1,29.97211155,19.47660691,8.663632423
1/24/2014,TH000048459,"CHON BURI, TH",8.320996441,22.2,28,8,37
1/25/2014,TH000048459,"CHON BURI, TH",8.320996441,23.6,29.97211155,19.47660691,8.663632423
1/26/2014,TH000048459,"CHON BURI, TH",8.320996441,24.2,29.97211155,24,31
1/27/2014,TH000048459,"CHON BURI, TH",8.320996441,25.6,29.97211155,19.47660691,8.663632423
1/28/2014,TH000048459,"CHON BURI, TH",8.320996441,26.1,29.97211155,10,30
1/29/2014,TH000048459,"CHON BURI, TH",8.320996441,26.7,29.97211155,12,8.663632423
1/30/2014,TH000048459,"CHON BURI, TH",8.320996441,26.8,29.97211155,8,32
1/31/2014,TH000048459,"CHON BURI, TH",8.320996441,26.7,29.97211155,11,27
2/1/2014,TH000048459,"CHON BURI, TH",8.320996441,26.2,29.97211155,19.47660691,8.663632423
2/2/2014,TH000048459,"CHON BURI, TH",8.320996441,26.6,29.97211155,28,16
2/3/2014,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,19.47660691,8.663632423
2/4/2014,TH000048459,"CHON BURI, TH",8.320996441,27.6,29.97211155,12,35
2/5/2014,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,37,13
2/6/2014,TH000048459,"CHON BURI, TH",8.320996441,27.6,29.97211155,24,23
2/7/2014,TH000048459,"CHON BURI, TH",8.320996441,27.4,29.97211155,19,18
2/8/2014,TH000048459,"CHON BURI, TH",8.320996441,27.4,10,24,11
2/9/2014,TH000048459,"CHON BURI, TH",8.320996441,27.5,29.97211155,25,5
2/10/2014,TH000048459,"CHON BURI, TH",8.320996441,26.9,8,13,18
2/11/2014,TH000048459,"CHON BURI, TH",8.320996441,27.7,29.97211155,19,19
2/12/2014,TH000048459,"CHON BURI, TH",8.320996441,27.7,29.97211155,14,15
2/13/2014,TH000048459,"CHON BURI, TH",8.320996441,27.9,29.97211155,14,19
2/14/2014,TH000048459,"CHON BURI, TH",8.320996441,28.1,29.97211155,16,18
2/15/2014,TH000048459,"CHON BURI, TH",5.1,28,29.97211155,19.47660691,8.663632423
