DATE,STATION,NAME,rain,temp
8/3/2013,COM00080112,"JOSE MARIA CORDOVA, CO",14,17.6
8/4/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17.2
8/5/2013,COM00080112,"JOSE MARIA CORDOVA, CO",2,17.7
8/6/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17
8/7/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,17
8/8/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,16.4
8/9/2013,COM00080112,"JOSE MARIA CORDOVA, CO",39.1,15.8
8/10/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,17.3
8/11/2013,COM00080112,"JOSE MARIA CORDOVA, CO",7.1,16.2
8/12/2013,COM00080112,"JOSE MARIA CORDOVA, CO",10.9,16.4
8/13/2013,COM00080112,"JOSE MARIA CORDOVA, CO",17,16.4
8/14/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,17.9
8/15/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17.7
8/16/2013,COM00080112,"JOSE MARIA CORDOVA, CO",5.799610642,17.8
8/17/2013,COM00080112,"JOSE MARIA CORDOVA, CO",2,17.7
8/18/2013,COM00080112,"JOSE MARIA CORDOVA, CO",18,16.2
8/19/2013,COM00080112,"JOSE MARIA CORDOVA, CO",4.1,17.6
8/20/2013,COM00080112,"JOSE MARIA CORDOVA, CO",5.1,17.6
8/21/2013,COM00080112,"JOSE MARIA CORDOVA, CO",4.1,17.6
8/22/2013,COM00080112,"JOSE MARIA CORDOVA, CO",9.9,16.9
8/23/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,17.1
8/24/2013,COM00080112,"JOSE MARIA CORDOVA, CO",4.1,16.7
8/25/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0.5,16.7
8/26/2013,COM00080112,"JOSE MARIA CORDOVA, CO",7.9,16.3
8/27/2013,COM00080112,"JOSE MARIA CORDOVA, CO",10.9,17.1
8/28/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,17.2
8/29/2013,COM00080112,"JOSE MARIA CORDOVA, CO",4.1,17.5
8/30/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17.3
8/31/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.9
9/1/2013,COM00080112,"JOSE MARIA CORDOVA, CO",19.1,17.2
9/2/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,16.9
9/3/2013,COM00080112,"JOSE MARIA CORDOVA, CO",17,16.8
9/4/2013,COM00080112,"JOSE MARIA CORDOVA, CO",22.1,14.4
9/5/2013,COM00080112,"JOSE MARIA CORDOVA, CO",2,16.5
9/6/2013,COM00080112,"JOSE MARIA CORDOVA, CO",23.1,16.1
9/7/2013,COM00080112,"JOSE MARIA CORDOVA, CO",14,16
9/8/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.9
9/9/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,17.1
9/10/2013,COM00080112,"JOSE MARIA CORDOVA, CO",11.9,16.5
9/11/2013,COM00080112,"JOSE MARIA CORDOVA, CO",2,15.9
9/12/2013,COM00080112,"JOSE MARIA CORDOVA, CO",9.9,16.9
9/13/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0.5,16.3
9/14/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,17.4
9/15/2013,COM00080112,"JOSE MARIA CORDOVA, CO",4.1,18.1
9/16/2013,COM00080112,"JOSE MARIA CORDOVA, CO",4.1,18.1
9/17/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,17.8
9/18/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0.3,17.2
9/19/2013,COM00080112,"JOSE MARIA CORDOVA, CO",6.1,17.2
9/20/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.8
9/21/2013,COM00080112,"JOSE MARIA CORDOVA, CO",5.799610642,17.2
9/22/2013,COM00080112,"JOSE MARIA CORDOVA, CO",5.799610642,16.9
9/23/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,18.1
9/24/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17.8
9/25/2013,COM00080112,"JOSE MARIA CORDOVA, CO",5.799610642,17.9
9/26/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0.3,15.9
9/27/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.9
9/28/2013,COM00080112,"JOSE MARIA CORDOVA, CO",41.9,15.3
9/29/2013,COM00080112,"JOSE MARIA CORDOVA, CO",11.9,16
9/30/2013,COM00080112,"JOSE MARIA CORDOVA, CO",9.9,16.2
10/1/2013,COM00080112,"JOSE MARIA CORDOVA, CO",10.9,15.2
10/2/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,16.5
10/3/2013,COM00080112,"JOSE MARIA CORDOVA, CO",2,17.3
10/4/2013,COM00080112,"JOSE MARIA CORDOVA, CO",17,16.2
10/5/2013,COM00080112,"JOSE MARIA CORDOVA, CO",9.9,17.5
10/6/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.9
10/7/2013,COM00080112,"JOSE MARIA CORDOVA, CO",5.799610642,16.8
10/8/2013,COM00080112,"JOSE MARIA CORDOVA, CO",7.1,17.3
10/9/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,17.2
10/10/2013,COM00080112,"JOSE MARIA CORDOVA, CO",6.1,17.2
10/11/2013,COM00080112,"JOSE MARIA CORDOVA, CO",17,16.6
10/12/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17
10/13/2013,COM00080112,"JOSE MARIA CORDOVA, CO",32,15.8
10/14/2013,COM00080112,"JOSE MARIA CORDOVA, CO",21.1,15.7
10/15/2013,COM00080112,"JOSE MARIA CORDOVA, CO",2,15.3
10/16/2013,COM00080112,"JOSE MARIA CORDOVA, CO",7.1,15.7
10/17/2013,COM00080112,"JOSE MARIA CORDOVA, CO",3,16.6
10/18/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.6
10/19/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17.4
10/20/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,17.4
10/21/2013,COM00080112,"JOSE MARIA CORDOVA, CO",9.9,16.8
10/22/2013,COM00080112,"JOSE MARIA CORDOVA, CO",25.9,16.2
10/23/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,17
10/24/2013,COM00080112,"JOSE MARIA CORDOVA, CO",1,17.1
10/25/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0.8,17.8
10/26/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0,16.9
10/27/2013,COM00080112,"JOSE MARIA CORDOVA, CO",0.3,16.8
10/28/2013,COM00080112,"JOSE MARIA CORDOVA, CO",6.1,17
