NAME,DATE,rain,temp
"JUAN SANTAMARIA INTERNATIONAL, CS",8/3/2013,2.8,22.5
"JUAN SANTAMARIA INTERNATIONAL, CS",8/4/2013,0,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",8/5/2013,8.21723886,22.4
"JUAN SANTAMARIA INTERNATIONAL, CS",8/6/2013,0,24.2
"JUAN SANTAMARIA INTERNATIONAL, CS",8/7/2013,0,24.1
"JUAN SANTAMARIA INTERNATIONAL, CS",8/8/2013,8.21723886,22.7
"JUAN SANTAMARIA INTERNATIONAL, CS",8/9/2013,8.21723886,21.6
"JUAN SANTAMARIA INTERNATIONAL, CS",8/10/2013,1,22.1
"JUAN SANTAMARIA INTERNATIONAL, CS",8/11/2013,0,21.4
"JUAN SANTAMARIA INTERNATIONAL, CS",8/12/2013,0.5,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",8/13/2013,2.3,22.1
"JUAN SANTAMARIA INTERNATIONAL, CS",8/14/2013,1,22.9
"JUAN SANTAMARIA INTERNATIONAL, CS",8/15/2013,0.5,22.9
"JUAN SANTAMARIA INTERNATIONAL, CS",8/16/2013,1.5,22.7
"JUAN SANTAMARIA INTERNATIONAL, CS",8/17/2013,8.6,20.9
"JUAN SANTAMARIA INTERNATIONAL, CS",8/18/2013,1.5,22.2
"JUAN SANTAMARIA INTERNATIONAL, CS",8/19/2013,0,22.5
"JUAN SANTAMARIA INTERNATIONAL, CS",8/20/2013,1,21.7
"JUAN SANTAMARIA INTERNATIONAL, CS",8/21/2013,5.6,22.8
"JUAN SANTAMARIA INTERNATIONAL, CS",8/22/2013,0,22.4
"JUAN SANTAMARIA INTERNATIONAL, CS",8/23/2013,15,21.2
"JUAN SANTAMARIA INTERNATIONAL, CS",8/24/2013,0.3,21.3
"JUAN SANTAMARIA INTERNATIONAL, CS",8/25/2013,29.7,21.4
"JUAN SANTAMARIA INTERNATIONAL, CS",8/26/2013,0.8,22.1
"JUAN SANTAMARIA INTERNATIONAL, CS",8/27/2013,0,21.4
"JUAN SANTAMARIA INTERNATIONAL, CS",8/28/2013,26.2,21.6
"JUAN SANTAMARIA INTERNATIONAL, CS",8/29/2013,0,22.2
"JUAN SANTAMARIA INTERNATIONAL, CS",8/30/2013,8.21723886,22.1
"JUAN SANTAMARIA INTERNATIONAL, CS",8/31/2013,8.21723886,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",9/1/2013,8.6,21.2
"JUAN SANTAMARIA INTERNATIONAL, CS",9/2/2013,15.5,21
"JUAN SANTAMARIA INTERNATIONAL, CS",9/3/2013,6.6,21.2
"JUAN SANTAMARIA INTERNATIONAL, CS",9/4/2013,10.2,21.4
"JUAN SANTAMARIA INTERNATIONAL, CS",9/5/2013,0,21.5
"JUAN SANTAMARIA INTERNATIONAL, CS",9/6/2013,55.1,21.4
"JUAN SANTAMARIA INTERNATIONAL, CS",9/7/2013,6.4,21
"JUAN SANTAMARIA INTERNATIONAL, CS",9/8/2013,0,21.2
"JUAN SANTAMARIA INTERNATIONAL, CS",9/9/2013,0.3,21.9
"JUAN SANTAMARIA INTERNATIONAL, CS",9/10/2013,17,21.6
"JUAN SANTAMARIA INTERNATIONAL, CS",9/11/2013,32.8,20.9
"JUAN SANTAMARIA INTERNATIONAL, CS",9/12/2013,14.5,21.5
"JUAN SANTAMARIA INTERNATIONAL, CS",9/13/2013,0,21.7
"JUAN SANTAMARIA INTERNATIONAL, CS",9/14/2013,66.8,21.6
"JUAN SANTAMARIA INTERNATIONAL, CS",9/15/2013,13.5,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",9/16/2013,2.3,22.5
"JUAN SANTAMARIA INTERNATIONAL, CS",9/17/2013,17.5,21.3
"JUAN SANTAMARIA INTERNATIONAL, CS",9/18/2013,2.3,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",9/19/2013,28.2,21.5
"JUAN SANTAMARIA INTERNATIONAL, CS",9/20/2013,0,22.6
"JUAN SANTAMARIA INTERNATIONAL, CS",9/21/2013,1.5,22.7
"JUAN SANTAMARIA INTERNATIONAL, CS",9/22/2013,23.9,20.9
"JUAN SANTAMARIA INTERNATIONAL, CS",9/23/2013,23.6,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",9/24/2013,0.8,23.7
"JUAN SANTAMARIA INTERNATIONAL, CS",9/25/2013,3.8,22.9
"JUAN SANTAMARIA INTERNATIONAL, CS",9/26/2013,0,22.6
"JUAN SANTAMARIA INTERNATIONAL, CS",9/27/2013,12.4,22.3
"JUAN SANTAMARIA INTERNATIONAL, CS",9/28/2013,0.8,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",9/29/2013,19.8,21.8
"JUAN SANTAMARIA INTERNATIONAL, CS",9/30/2013,8.9,22
"JUAN SANTAMARIA INTERNATIONAL, CS",10/1/2013,37.6,21.3
"JUAN SANTAMARIA INTERNATIONAL, CS",10/2/2013,41.9,21
"JUAN SANTAMARIA INTERNATIONAL, CS",10/3/2013,2,20.9
"JUAN SANTAMARIA INTERNATIONAL, CS",10/4/2013,0.5,20.7
"JUAN SANTAMARIA INTERNATIONAL, CS",10/5/2013,4.8,21.4
