DATE,STATION,NAME,rain,temp
8/3/2013,MXM00076680,"MEXICO CITY, MX",0,18.8
8/4/2013,MXM00076680,"MEXICO CITY, MX",0,16.4
8/5/2013,MXM00076680,"MEXICO CITY, MX",6.6,17.7
8/6/2013,MXM00076680,"MEXICO CITY, MX",0.3,18.3
8/7/2013,MXM00076680,"MEXICO CITY, MX",0,18.7
8/8/2013,MXM00076680,"MEXICO CITY, MX",7.6,19.2
8/9/2013,MXM00076680,"MEXICO CITY, MX",1.3,17.6
8/10/2013,MXM00076680,"MEXICO CITY, MX",0.3,16.2
8/11/2013,MXM00076680,"MEXICO CITY, MX",0,16.6
8/12/2013,MXM00076680,"MEXICO CITY, MX",6.6,16
8/13/2013,MXM00076680,"MEXICO CITY, MX",5.1,16.3
8/14/2013,MXM00076680,"MEXICO CITY, MX",0,16.8
8/15/2013,MXM00076680,"MEXICO CITY, MX",0,17.5
8/16/2013,MXM00076680,"MEXICO CITY, MX",1.865611258,16.9
8/17/2013,MXM00076680,"MEXICO CITY, MX",0,16.6
8/18/2013,MXM00076680,"MEXICO CITY, MX",0,17.8
8/19/2013,MXM00076680,"MEXICO CITY, MX",0,16.7
8/20/2013,MXM00076680,"MEXICO CITY, MX",10.4,15.6
8/21/2013,MXM00076680,"MEXICO CITY, MX",7.4,16
8/22/2013,MXM00076680,"MEXICO CITY, MX",0.5,15.8
8/23/2013,MXM00076680,"MEXICO CITY, MX",2,15.8
8/24/2013,MXM00076680,"MEXICO CITY, MX",4.8,17.4
8/25/2013,MXM00076680,"MEXICO CITY, MX",0,17.6
8/26/2013,MXM00076680,"MEXICO CITY, MX",0.8,16.2
8/27/2013,MXM00076680,"MEXICO CITY, MX",14.7,17
8/28/2013,MXM00076680,"MEXICO CITY, MX",0,18.2
8/29/2013,MXM00076680,"MEXICO CITY, MX",0,16.9
8/30/2013,MXM00076680,"MEXICO CITY, MX",3.3,16
8/31/2013,MXM00076680,"MEXICO CITY, MX",1,17.4
9/1/2013,MXM00076680,"MEXICO CITY, MX",7.6,16.2
9/2/2013,MXM00076680,"MEXICO CITY, MX",0,18.7
9/3/2013,MXM00076680,"MEXICO CITY, MX",13.2,14.7
9/4/2013,MXM00076680,"MEXICO CITY, MX",0,15.3
9/5/2013,MXM00076680,"MEXICO CITY, MX",1.5,16.3
9/6/2013,MXM00076680,"MEXICO CITY, MX",45.2,16.1
9/7/2013,MXM00076680,"MEXICO CITY, MX",0,15.1
9/8/2013,MXM00076680,"MEXICO CITY, MX",16.5,15.6
9/9/2013,MXM00076680,"MEXICO CITY, MX",4.8,15.6
9/10/2013,MXM00076680,"MEXICO CITY, MX",25.4,16.6
9/11/2013,MXM00076680,"MEXICO CITY, MX",0.5,17.7
9/12/2013,MXM00076680,"MEXICO CITY, MX",0,16.9
9/13/2013,MXM00076680,"MEXICO CITY, MX",1.865611258,15.9
9/14/2013,MXM00076680,"MEXICO CITY, MX",7.1,15
9/15/2013,MXM00076680,"MEXICO CITY, MX",0,15.5
9/16/2013,MXM00076680,"MEXICO CITY, MX",4.1,15
9/17/2013,MXM00076680,"MEXICO CITY, MX",2,16.9
9/18/2013,MXM00076680,"MEXICO CITY, MX",20.3,15.8
9/19/2013,MXM00076680,"MEXICO CITY, MX",1.5,17.7
9/20/2013,MXM00076680,"MEXICO CITY, MX",0,18.1
9/21/2013,MXM00076680,"MEXICO CITY, MX",1.865611258,17.8
9/22/2013,MXM00076680,"MEXICO CITY, MX",16,17.6
9/23/2013,MXM00076680,"MEXICO CITY, MX",0.8,19.5
9/24/2013,MXM00076680,"MEXICO CITY, MX",0,18.7
9/25/2013,MXM00076680,"MEXICO CITY, MX",24.1,16.5
9/26/2013,MXM00076680,"MEXICO CITY, MX",0,16.4
9/27/2013,MXM00076680,"MEXICO CITY, MX",0,17.8
9/28/2013,MXM00076680,"MEXICO CITY, MX",0,19.6
9/29/2013,NA,NA,1.865611258,17.66953286
9/30/2013,MXM00076680,"MEXICO CITY, MX",3,17.9
10/1/2013,MXM00076680,"MEXICO CITY, MX",0,19.3
10/2/2013,MXM00076680,"MEXICO CITY, MX",0,19.1
10/3/2013,MXM00076680,"MEXICO CITY, MX",0,17.6
10/4/2013,MXM00076680,"MEXICO CITY, MX",0,16.8
10/5/2013,MXM00076680,"MEXICO CITY, MX",0,19.8
10/6/2013,MXM00076680,"MEXICO CITY, MX",9.4,17.3
10/7/2013,MXM00076680,"MEXICO CITY, MX",0.5,16.1
10/8/2013,MXM00076680,"MEXICO CITY, MX",0.8,15.7
10/9/2013,MXM00076680,"MEXICO CITY, MX",0,18.2
10/10/2013,MXM00076680,"MEXICO CITY, MX",1.865611258,18.1
10/11/2013,MXM00076680,"MEXICO CITY, MX",15.2,17
10/12/2013,MXM00076680,"MEXICO CITY, MX",0.3,17.3
10/13/2013,MXM00076680,"MEXICO CITY, MX",0,18.2
10/14/2013,MXM00076680,"MEXICO CITY, MX",0,17.8
10/15/2013,MXM00076680,"MEXICO CITY, MX",0,17.2
10/16/2013,MXM00076680,"MEXICO CITY, MX",1.865611258,19
10/17/2013,MXM00076680,"MEXICO CITY, MX",0,19.6
10/18/2013,MXM00076680,"MEXICO CITY, MX",0,17.8
10/19/2013,MXM00076680,"MEXICO CITY, MX",4.6,16.9
10/20/2013,MXM00076680,"MEXICO CITY, MX",42.4,13.5
10/21/2013,MXM00076680,"MEXICO CITY, MX",0,16.6
10/22/2013,MXM00076680,"MEXICO CITY, MX",0,15.4
10/23/2013,MXM00076680,"MEXICO CITY, MX",1.865611258,12.6
10/24/2013,MXM00076680,"MEXICO CITY, MX",1,12.4
10/25/2013,MXM00076680,"MEXICO CITY, MX",0,12.7
10/26/2013,MXM00076680,"MEXICO CITY, MX",0,15.1
10/27/2013,MXM00076680,"MEXICO CITY, MX",0,16.4
10/28/2013,MXM00076680,"MEXICO CITY, MX",1,17.1
10/29/2013,MXM00076680,"MEXICO CITY, MX",0,18.3
10/30/2013,MXM00076680,"MEXICO CITY, MX",0,19.9
10/31/2013,MXM00076680,"MEXICO CITY, MX",1.8,18.8
11/1/2013,MXM00076680,"MEXICO CITY, MX",0,18.9
11/2/2013,MXM00076680,"MEXICO CITY, MX",3.8,16.8
11/3/2013,MXM00076680,"MEXICO CITY, MX",0,12.6
11/4/2013,MXM00076680,"MEXICO CITY, MX",0,17.1
11/5/2013,MXM00076680,"MEXICO CITY, MX",0,17.7
11/6/2013,MXM00076680,"MEXICO CITY, MX",0,17.3
11/7/2013,MXM00076680,"MEXICO CITY, MX",0,15.1
11/8/2013,MXM00076680,"MEXICO CITY, MX",0,15.1
