"","DATE","STATION","NAME","PRCP","TAVG","TMAX","TMIN"
"1",2013-08-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0.3,30.1,36.2,25.8
"2",2013-08-04,"MXM00076458","COLONIA JUAN CARRAS, MX",5.1,28.7,35.8,24.6
"3",2013-08-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.4,NA,NA
"4",2013-08-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.4,36.2,25.4
"5",2013-08-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.4,35.7,25.7
"6",2013-08-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.9,35.9,25.7
"7",2013-08-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.7,37,26.2
"8",2013-08-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0.8,28.8,36,23.8
"9",2013-08-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.6,36.7,23.8
"10",2013-08-12,"MXM00076458","COLONIA JUAN CARRAS, MX",9.1,28,36.5,22.8
"11",2013-08-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.2,36.3,22.8
"12",2013-08-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0.5,30.1,36.3,25
"13",2013-08-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.7,36.1,26.2
"14",2013-08-16,"MXM00076458","COLONIA JUAN CARRAS, MX",19.1,28.5,37.1,22.4
"15",2013-08-17,"MXM00076458","COLONIA JUAN CARRAS, MX",17.5,30.6,36.9,22.1
"16",2013-08-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.7,37.5,26.1
"17",2013-08-19,"MXM00076458","COLONIA JUAN CARRAS, MX",2.51561904761905,30.5,38.2,26.1
"18",2013-08-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.3,37,27.1
"19",2013-08-21,"MXM00076458","COLONIA JUAN CARRAS, MX",14.2,28.7,36,22.2
"20",2013-08-22,"MXM00076458","COLONIA JUAN CARRAS, MX",44.2,27.8,35.7,20.3
"21",2013-08-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.2,33,20.2
"22",2013-08-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.8,NA,NA
"23",2013-08-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.6,34.6,25
"24",2013-08-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.7,33,25.8
"25",2013-08-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0.8,28.1,NA,NA
"26",2013-08-28,"MXM00076458","COLONIA JUAN CARRAS, MX",31.2,27.9,NA,NA
"27",2013-08-29,"MXM00076458","COLONIA JUAN CARRAS, MX",1,29,33.1,24.1
"28",2013-08-30,"MXM00076458","COLONIA JUAN CARRAS, MX",8.6,27.5,33,20.2
"29",2013-08-31,"MXM00076458","COLONIA JUAN CARRAS, MX",15.5,28.7,33,20.2
"30",2013-09-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.4,34,24
"31",2013-09-02,"MXM00076458","COLONIA JUAN CARRAS, MX",21.1,28.6,34,23
"32",2013-09-03,"MXM00076458","COLONIA JUAN CARRAS, MX",2.51561904761905,29.6,32.8,23
"33",2013-09-04,"MXM00076458","COLONIA JUAN CARRAS, MX",1.8,28,NA,NA
"34",2013-09-05,"MXM00076458","COLONIA JUAN CARRAS, MX",1,29,NA,NA
"35",2013-09-06,"MXM00076458","COLONIA JUAN CARRAS, MX",2.51561904761905,28.3,NA,NA
"36",2013-09-07,"MXM00076458","COLONIA JUAN CARRAS, MX",3.6,28.2,NA,NA
"37",2013-09-08,"MXM00076458","COLONIA JUAN CARRAS, MX",58.2,28,NA,NA
"38",2013-09-09,"MXM00076458","COLONIA JUAN CARRAS, MX",29.7,25.8,NA,NA
"39",2013-09-10,"MXM00076458","COLONIA JUAN CARRAS, MX",122.4,26.8,NA,NA
"40",2013-09-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.5,NA,NA
"41",2013-09-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.8,33.6,25.2
"42",2013-09-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.5,35.9,25.8
"43",2013-09-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.4,35.7,27.2
"44",2013-09-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.5,35.7,27
"45",2013-09-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,30.1,35.4,27
"46",2013-09-17,"MXM00076458","COLONIA JUAN CARRAS, MX",46.7,26,34.4,23
"47",2013-09-18,"MXM00076458","COLONIA JUAN CARRAS, MX",115.6,25.2,NA,NA
"48",2013-09-19,"MXM00076458","COLONIA JUAN CARRAS, MX",56.4,25.9,34.2,24
"49",2013-09-20,"MXM00076458","COLONIA JUAN CARRAS, MX",19.3,27.5,31.6,24
"50",2013-09-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.5,32.5,25.5
"51",2013-09-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.4,32.7,25.5
"52",2013-09-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.7,33.2,26
"53",2013-09-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.9,30.3,26
"54",2013-09-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.7,NA,NA
"55",2013-09-26,"MXM00076458","COLONIA JUAN CARRAS, MX",5.8,29,33.4,25
"56",2013-09-27,"MXM00076458","COLONIA JUAN CARRAS, MX",7.1,27.9,32.9,25
"57",2013-09-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0.8,27.3,31.6,24.6
"58",2013-09-29,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.2,32.2,24.6
"59",2013-09-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.9,32.7,25
"60",2013-10-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.4,33.9,25
"61",2013-10-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.6,32.7,24.8
"62",2013-10-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.5,34,24.8
"63",2013-10-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.4,34,25.5
"64",2013-10-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.8,33,25.2
"65",2013-10-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29,32.8,25.2
"66",2013-10-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.2,32.9,25.4
"67",2013-10-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29,33,25.4
"68",2013-10-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.9,32.9,25.6
"69",2013-10-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.2,33.4,25.5
"70",2013-10-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.2,32.3,24.5
"71",2013-10-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.9,32.4,24.5
"72",2013-10-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.8,33.5,26
"73",2013-10-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.1,33.6,25.9
"74",2013-10-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.2,33.2,25.9
"75",2013-10-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,29.1,33.2,26
"76",2013-10-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.4,32.6,25
"77",2013-10-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.6,32.3,25
"78",2013-10-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.3,32.7,24.7
"79",2013-10-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.4,32.6,24.2
"80",2013-10-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.6,32.6,23.4
"81",2013-10-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.8,31.8,21.9
"82",2013-10-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.3,33.1,21.9
"83",2013-10-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.5,33.4,22.6
"84",2013-10-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.9,32.7,24.6
"85",2013-10-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.6,32.2,23.9
"86",2013-10-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.4,32,23.1
"87",2013-10-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.6,31.6,23.1
"88",2013-10-29,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.8,32.6,23.6
"89",2013-10-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.4,33.4,24.7
"90",2013-10-31,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.2,33.2,25.4
"91",2013-11-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28,32.8,25
"92",2013-11-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.7,32.7,24.8
"93",2013-11-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,28.1,32.8,26.2
"94",2013-11-04,"MXM00076458","COLONIA JUAN CARRAS, MX",41.7,27.8,31.4,24.8
"95",2013-11-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.7,31.2,22.9
"96",2013-11-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.1,31.6,22.4
"97",2013-11-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.8,31.7,22.4
"98",2013-11-08,"MXM00076458","COLONIA JUAN CARRAS, MX",7.9,25.1,32.3,22.3
"99",2013-11-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.3,30.1,20.2
"100",2013-11-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.2,30.8,20.2
"101",2013-11-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.3,31.9,21.7
"102",2013-11-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.5,30.5,22.4
"103",2013-11-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27,32,23
"104",2013-11-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.8,35.6,23.4
"105",2013-11-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.2,32.9,22
"106",2013-11-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.5,32.6,22
"107",2013-11-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,27.1,31.5,22.3
"108",2013-11-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,26.8,31.2,22.1
"109",2013-11-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.2,30.6,21.4
"110",2013-11-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.2,30.8,21.4
"111",2013-11-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.7,30,21.3
"112",2013-11-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.7,30.8,21.8
"113",2013-11-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.9,31.4,22
"114",2013-11-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.7,33,21.9
"115",2013-11-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,25.3,30.6,21.9
"116",2013-11-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.1,29.3,16
"117",2013-11-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.4,30,14.3
"118",2013-11-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.1,30.6,18.3
"119",2013-11-29,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.2,30.3,19.5
"120",2013-11-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.9,30.2,19.2
"121",2013-12-01,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.5,29.8,19.2
"122",2013-12-02,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.8,29.2,19.2
"123",2013-12-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.6,27.9,19.3
"124",2013-12-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.6,29.2,19.5
"125",2013-12-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.7,29.7,20.6
"126",2013-12-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,24.4,29.2,20.4
"127",2013-12-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.9,28.4,18.6
"128",2013-12-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.5,26.4,16.8
"129",2013-12-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.7,25.4,16.8
"130",2013-12-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.8,26.6,16.3
"131",2013-12-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.4,26,16.2
"132",2013-12-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,25.8,16.2
"133",2013-12-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23,27.7,17
"134",2013-12-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.9,27.5,16.8
"135",2013-12-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.1,27.4,16.1
"136",2013-12-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,27.8,16.1
"137",2013-12-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.5,29.2,16.8
"138",2013-12-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,28.4,15.8
"139",2013-12-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.4,28.8,15.8
"140",2013-12-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.4,28.6,17.2
"141",2013-12-21,"MXM00076458","COLONIA JUAN CARRAS, MX",2.51561904761905,23.1,25.2,18.8
"142",2013-12-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.9,26.1,16.3
"143",2013-12-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.1,27.1,16
"144",2013-12-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,27.5,16.1
"145",2013-12-25,"MXM00076458","COLONIA JUAN CARRAS, MX",2.51561904761905,23.4,29.4,17.5
"146",2013-12-26,"MXM00076458","COLONIA JUAN CARRAS, MX",2.51561904761905,23.1,32,18.8
"147",2013-12-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,32.2,18.4
"148",2013-12-28,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.1,32,18.3
"149",2013-12-29,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.9,30.4,17.1
"150",2013-12-30,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.7,30.6,17.1
"151",2013-12-31,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.5,26.2,15.2
"152",2014-01-01,"MXM00076458","COLONIA JUAN CARRAS, MX",7.1,21.9,NA,NA
"153",2014-01-02,"MXM00076458","COLONIA JUAN CARRAS, MX",7.1,23.8,29.2,18
"154",2014-01-03,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.5,28.8,19
"155",2014-01-04,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.5,29.4,17.1
"156",2014-01-05,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.3,27.5,17.1
"157",2014-01-06,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.1,27.6,18.4
"158",2014-01-07,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22,28.3,17.1
"159",2014-01-08,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,27.2,17.1
"160",2014-01-09,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.6,27.9,16.3
"161",2014-01-10,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.2,27.1,15.2
"162",2014-01-11,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.7,27.1,14.2
"163",2014-01-12,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.5,28.9,14.2
"164",2014-01-13,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.9,29.5,15.3
"165",2014-01-14,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.2,29.6,15
"166",2014-01-15,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.9,29,14
"167",2014-01-16,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.9,30.5,14
"168",2014-01-17,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.9,30.8,15.1
"169",2014-01-18,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.3,27.6,14
"170",2014-01-19,"MXM00076458","COLONIA JUAN CARRAS, MX",0,20.9,28,14
"171",2014-01-20,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.2,28.1,15
"172",2014-01-21,"MXM00076458","COLONIA JUAN CARRAS, MX",0,21.8,27.2,15.1
"173",2014-01-22,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,27.5,15.6
"174",2014-01-23,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.9,27.9,18.4
"175",2014-01-24,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.3,29.2,18.4
"176",2014-01-25,"MXM00076458","COLONIA JUAN CARRAS, MX",0,23.3,28.7,18.2
"177",2014-01-26,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.8,28.3,17.4
"178",2014-01-27,"MXM00076458","COLONIA JUAN CARRAS, MX",0,22.7,27.9,17.4
