DATE,STATION,NAME,pm10,o3,no2,rain,temp
1/1/2014,TH000048400,"NAKHON SAWAN, TH",93,75,27,7.234567901,21.9
1/2/2014,TH000048400,"NAKHON SAWAN, TH",92,78,29,7.234567901,22.5
1/3/2014,TH000048400,"NAKHON SAWAN, TH",96,15,26,7.234567901,24.4
1/4/2014,TH000048400,"NAKHON SAWAN, TH",99,65,25,7.234567901,24.7
1/5/2014,TH000048400,"NAKHON SAWAN, TH",89,67,29,7.234567901,24.8
1/6/2014,TH000048400,"NAKHON SAWAN, TH",87,78,27,7.234567901,25.7
1/7/2014,TH000048400,"NAKHON SAWAN, TH",104,83,21,7.234567901,26.4
1/8/2014,TH000048400,"NAKHON SAWAN, TH",104,53,21,7.234567901,26.4
1/9/2014,TH000048400,"NAKHON SAWAN, TH",99,48,21,7.234567901,25.8
1/10/2014,TH000048400,"NAKHON SAWAN, TH",80,61,22,7.234567901,25.1
1/11/2014,TH000048400,"NAKHON SAWAN, TH",68,52,20,7.234567901,24.7
1/12/2014,TH000048400,"NAKHON SAWAN, TH",70,49,20,7.234567901,24.6
1/13/2014,TH000048400,"NAKHON SAWAN, TH",65,57,16,7.234567901,23.9
1/14/2014,TH000048400,"NAKHON SAWAN, TH",62,60,16,7.234567901,22.3
1/15/2014,TH000048400,"NAKHON SAWAN, TH",61,64,16,7.234567901,21.1
1/16/2014,TH000048400,"NAKHON SAWAN, TH",66,58,22,7.234567901,20.8
1/17/2014,TH000048400,"NAKHON SAWAN, TH",79,57,17,7.234567901,21.9
1/18/2014,TH000048400,"NAKHON SAWAN, TH",70,77,12,7.234567901,22.1
1/19/2014,TH000048400,"NAKHON SAWAN, TH",65,78,16,7.234567901,20.5
1/20/2014,TH000048400,"NAKHON SAWAN, TH",89,57,12,7.234567901,21.6
1/21/2014,TH000048400,"NAKHON SAWAN, TH",87,25.80661157,8.012112403,7.234567901,20.7
1/22/2014,TH000048400,"NAKHON SAWAN, TH",46.40890183,76,26,7.234567901,19.1
1/23/2014,TH000048400,"NAKHON SAWAN, TH",98,92,31,7.234567901,18.3
1/24/2014,TH000048400,"NAKHON SAWAN, TH",99,18,25,7.234567901,19.4
1/25/2014,TH000048400,"NAKHON SAWAN, TH",129,95,17,7.234567901,20.8
1/26/2014,TH000048400,"NAKHON SAWAN, TH",121,19,33,7.234567901,22.4
1/27/2014,TH000048400,"NAKHON SAWAN, TH",100,55,28,7.234567901,23.8
1/28/2014,TH000048400,"NAKHON SAWAN, TH",89,62,28,7.234567901,24.6
1/29/2014,TH000048400,"NAKHON SAWAN, TH",81,44,26,7.234567901,25.2
