date,pm10,o3,no2,rain,temp,tmax,tmin
12/31/2013,27,17,7,13.4,25.8,28.7,24.8
1/1/2014,29,17,7,0,26.7,29,24.9
1/2/2014,29,12,10,0,27.4,30.9,25
1/3/2014,20,13,8,0,27.1,30.4,24.9
1/4/2014,17,8,6,0,27.1,31.1,24.9
1/5/2014,14,5,10,18.4,24.8,26.4,23.3
1/6/2014,26,13,9,31.2,25.3,27.1,23.9
1/7/2014,27,15,7,0,26.7,30.7,24.3
1/8/2014,17,6,8,0,27.1,31.8,24.7
1/9/2014,17,16,11,2,25.9,29.3,24.3
1/10/2014,17,14,6,0,26.8,30.6,24.2
1/11/2014,15,9,8,5.6,26.6,31.4,23.7
1/12/2014,20,16,7,18.2,26.2,28.9,23.8
1/13/2014,28,15,8,0,26.9,30.3,25.4
1/14/2014,29,20,8,0,26.5,29.3,24.5
1/15/2014,33,24,9,0,26,28.2,24.5
1/16/2014,30,22,8,0,26.2,28.5,24.5
1/17/2014,24,16,8,0,26,29.2,23.7
1/18/2014,23,18,6,0,26.1,29.3,24.1
1/19/2014,25,17,8,0,26,29.2,23.5
1/20/2014,25,19,9,0,25.7,29.1,23.6
1/21/2014,30,20,10,0,25.6,29.4,23.4
1/22/2014,34,28,9,0,25.5,28.4,23.2
1/23/2014,40,22,9,0,25.9,29.2,23.9
1/24/2014,38,24,6,0,25.8,28.5,24
1/25/2014,36,30,8,0,25.8,29.3,23.9
1/26/2014,32,20,6,0,25.6,29.4,22.7
1/27/2014,28,19,5,0,25.9,29.8,23.8
1/28/2014,24,18,5,0,26.5,30.1,24.4
1/29/2014,20,21,5,0,26.5,30.5,23.9
1/30/2014,21,22,4,0,25.8,30.6,22.4
1/31/2014,21,22,7,0,26.3,30.6,23.8
2/1/2014,19,21,9,0,25.9,31.6,22.4
2/2/2014,19,28,6,0,25.5,30.2,22.7
2/3/2014,22,45,7,0,26.1,31.2,22.9
2/4/2014,29,26,7,0,26.5,31.3,23.4
2/5/2014,24,19,8,0,26.2,30.7,23.2
2/6/2014,20,22,8,0,26.4,31.3,23.1
2/7/2014,29,27,9,0,26.5,31.6,23.9
2/8/2014,30,33,9,0.2,26.9,31.6,24
2/9/2014,29,32,9,0,27.5,32.7,24.7
2/10/2014,26,21,7,0,27.7,33.8,24.8
2/11/2014,24,17,6,0,27.6,32.4,25
2/12/2014,29,15,6,0,27.6,32.1,24.9
2/13/2014,29,18,6,0,27.9,32.7,25.4
2/14/2014,29,20,5,0,27.6,31.9,25.5
2/15/2014,32,22,5,0,27.8,31.9,25.4
2/16/2014,30,18,5,0,27.8,32.1,25.3
2/17/2014,32,18,6,0,27.8,31.7,25.6
2/18/2014,31,18,6,0,27.7,32.6,25.2
2/19/2014,23,17,5,0,27.6,32.2,24.9
2/20/2014,26,13,5,0,27.7,32.2,24.9
2/21/2014,28,19,5,0,27.7,31.7,25.8
2/22/2014,29,23,6,0,28,32.3,25.5
2/23/2014,30,26,6,0,27.4,32.1,24.4
