date,pm10,o3,no2,rain,temp
12/31/2013,27,17,7,13.4,25.8
1/1/2014,29,17,7,0,26.7
1/2/2014,29,12,10,0,27.4
1/3/2014,20,13,8,0,27.1
1/4/2014,17,8,6,0,27.1
1/5/2014,14,5,10,18.4,24.8
1/6/2014,26,13,9,31.2,25.3
1/7/2014,27,15,7,0,26.7
1/8/2014,17,6,8,0,27.1
1/9/2014,17,16,11,2,25.9
1/10/2014,17,14,6,0,26.8
1/11/2014,15,9,8,5.6,26.6
1/12/2014,20,16,7,18.2,26.2
1/13/2014,28,15,8,0,26.9
1/14/2014,29,20,8,0,26.5
1/15/2014,33,24,9,0,26
1/16/2014,30,22,8,0,26.2
1/17/2014,24,16,8,0,26
1/18/2014,23,18,6,0,26.1
1/19/2014,25,17,8,0,26
1/20/2014,25,19,9,0,25.7
1/21/2014,30,20,10,0,25.6
1/22/2014,34,28,9,0,25.5
1/23/2014,40,22,9,0,25.9
1/24/2014,38,24,6,0,25.8
1/25/2014,36,30,8,0,25.8
1/26/2014,32,20,6,0,25.6
1/27/2014,28,19,5,0,25.9
1/28/2014,24,18,5,0,26.5
1/29/2014,20,21,5,0,26.5
1/30/2014,21,22,4,0,25.8
1/31/2014,21,22,7,0,26.3
2/1/2014,19,21,9,0,25.9
2/2/2014,19,28,6,0,25.5
2/3/2014,22,45,7,0,26.1
2/4/2014,29,26,7,0,26.5
2/5/2014,24,19,8,0,26.2
2/6/2014,20,22,8,0,26.4
2/7/2014,29,27,9,0,26.5
2/8/2014,30,33,9,0.2,26.9
2/9/2014,29,32,9,0,27.5
2/10/2014,26,21,7,0,27.7
2/11/2014,24,17,6,0,27.6
2/12/2014,29,15,6,0,27.6
2/13/2014,29,18,6,0,27.9
2/14/2014,29,20,5,0,27.6
2/15/2014,32,22,5,0,27.8
2/16/2014,30,18,5,0,27.8
2/17/2014,32,18,6,0,27.8
2/18/2014,31,18,6,0,27.7
2/19/2014,23,17,5,0,27.6
2/20/2014,26,13,5,0,27.7
2/21/2014,28,19,5,0,27.7
2/22/2014,29,23,6,0,28
2/23/2014,30,26,6,0,27.4
2/24/2014,31,21,9,0,27.2
2/25/2014,31,20,6,0,27
2/26/2014,28,17,5,0,27.3
2/27/2014,29,18,5,0,27.8
2/28/2014,30,18,6,0,27.6
3/1/2014,27,26,5,0,27.7
3/2/2014,25,27,7,0,28
3/3/2014,35,30,8,0,27.6
3/4/2014,31,23,7,0,27.8
3/5/2014,27,22,6,0,27.6
3/6/2014,33,25,7,0,27.5
3/7/2014,41,28,7,0,27.6
3/8/2014,40,27,6,0,27.9
3/9/2014,36,24,6,0,27.6
3/10/2014,41,24,8,0,27.8
3/11/2014,59,23,6,0,28.2
3/12/2014,49,30,6,0,28.3
3/13/2014,54,24,6,0,28.3
3/14/2014,40,12,6,0,28.6
3/15/2014,24,6,7,0,28.6
3/16/2014,14,5,8,52.6,26
3/17/2014,18,10,9,5.4,26.3
3/18/2014,23,14,10,0.4,27.5
3/19/2014,29,12,15,0,27.5
3/20/2014,27,29,18,2,27.6
3/21/2014,32,32,14,5.2,27.7
3/22/2014,30,26,9,0,27.5
3/23/2014,25,23,8,0,27.9
3/24/2014,29,22,12,0,28.1
3/25/2014,30,21,11,0,28.5
3/26/2014,28,21,10,0,28.7
3/27/2014,39,21,12,0,29.1
3/28/2014,23,14,14,0,28.6
3/29/2014,25,27,16,0.4,28.6
3/30/2014,21,19,12,0,28.4
3/31/2014,24,27,15,0,28.8
4/1/2014,24,27,15,2,28.4
4/2/2014,20,16,10,0,28.8
4/3/2014,22,26,19,0,29.3
4/4/2014,28,9,17,0,28.6
4/5/2014,20,23,11,23.4,26.4
4/6/2014,19,27,12,0.2,28
4/7/2014,22,22,16,10,28.6
4/8/2014,26,32,19,6.6,27.6
4/9/2014,25,16,15,1.8,27.6
4/10/2014,25,28,21,0,28
4/11/2014,26,16,18,2.8,27.5
4/12/2014,24,37,13,8,26.8
4/13/2014,25,15,12,0,28.5
4/14/2014,29,17,22,0,28.4
4/15/2014,35,17,15,0,28.5
4/16/2014,33,19,22,0.2,28.7
4/17/2014,40,13,33,28.8,28.4
4/18/2014,24,16,20,0,28.2
4/19/2014,33,25,12,0,28.9
4/20/2014,20,7,37,0.2,28.2
4/21/2014,27,4,27,5.2,26.6
4/22/2014,28,9,32,0,27.9
4/23/2014,30,7,34,0,28.6
4/24/2014,21,15,21,2.2,28.7
4/25/2014,34,20,35,0,28.8
4/26/2014,35,11,24,0,29.1
4/27/2014,26,17,28,0.2,28.7
4/28/2014,30,15,22,0.2,28.6
4/29/2014,31,10,28,4.8,28.3
4/30/2014,35,8,23,13.4,28.2
5/1/2014,20,14,30,0.4,28.4
5/2/2014,20,13,21,0,29.4
5/3/2014,18,7,22,0,29.6
5/4/2014,23,23,8,1.4,29.5
5/5/2014,23,5,21,0,29.4
5/6/2014,20,11,22,0.2,29.8
5/7/2014,19,15,25,18.4,28
5/8/2014,32,17,33,10.6,27.4
5/9/2014,21,15,14,1.4,29
5/10/2014,21,24,18,0,29.9
5/11/2014,24,9,20,0,29
5/12/2014,26,38,18,0.4,28.2
5/13/2014,29,18,20,0,29.2
5/14/2014,21,22,16,1.6,28.4
5/15/2014,17,14,18,12.2,29.5
5/16/2014,19,16,22,20.2,28.6
5/17/2014,15,8,21,0,28.6
5/18/2014,17,6,18,22.2,26.7
5/19/2014,15,15,23,7.2,27.2
5/20/2014,25,22,30,3.4,27.5
5/21/2014,32,13,27,0,27.7
5/22/2014,17,9,19,2,28.7
5/23/2014,23,18,18,3,27.1
5/24/2014,17,14,20,0,28.4
5/25/2014,12,9,18,0,29.3
5/26/2014,24,10,27,0,28.8
5/27/2014,19,16,18,0.8,28
5/28/2014,20,11,29,2.6,28.8
5/29/2014,28,15,17,17.8,28.5
5/30/2014,21,10,14,0,27.9
5/31/2014,13,10,9,0,29
6/1/2014,15,10,14,18,28.1
6/2/2014,19,12,9,0,28.7
6/3/2014,19,6,12,0,29.4
6/4/2014,18,6,14,6.6,27.7
6/5/2014,16,6,11,8.8,27
6/6/2014,21,13,18,4.2,27.4
6/7/2014,16,15,6,0,29
6/8/2014,15,18,9,0,29.7
6/9/2014,21,14,11,0,29.4
6/10/2014,21,14,10,1.6,29.2
6/11/2014,19,14,9,0,29.9
6/12/2014,21,19,11,4.4,29.2
6/13/2014,19,8,12,0,29.7
6/14/2014,15,18,9,18.8,27.6
6/15/2014,18,16,8,0,29.4
6/16/2014,17,16,8,0,30.1
6/17/2014,18,17,10,0,30.3
