date, pm10, o3, no2
2022/3/1,43,13,5
2022/3/2,38,10,6
2022/3/3,42,14,6
2022/3/4,45,11,5
2022/3/5,39,9,5
2022/3/6,35,11,4
2022/3/7,45,17,10
2022/3/8,70,41,17
2022/3/9,46,14,5
2022/3/10,48,11,4
2022/3/11,50,14,5
2022/3/12,49,15,4
2022/3/13,38,11,6
2022/3/14,30,11,7
2022/3/15,27,7,3
2022/3/16,32,8,2
2022/3/17,39,8,6
2022/3/18,40,20,9
2022/3/19,34,5,8
2022/3/20,27,5,4
2022/3/21,26,3,5
2022/3/22, , , 
2022/2/1,31,9,4
2022/2/2,35,10,6
2022/2/3,37,15,11
2022/2/4,48,17,15
2022/2/5,54,21,13
2022/2/6,62,27,18
2022/2/7,62,19,23
2022/2/8,39,20,7
2022/2/9,37,18,8
2022/2/10,37,17,6
2022/2/11,43,14,10
2022/2/12,45,11,6
2022/2/13,36,7,4
2022/2/14,42,8,10
2022/2/15,60,12,12
2022/2/16,62,6,10
2022/2/17,34,7,6
2022/2/18,23,4,5
2022/2/19,22,4,3
2022/2/20,30,9,8
2022/2/21,41,11,14
2022/2/22,56,22,14
2022/2/23,55,18,15
2022/2/24,61,20,13
2022/2/25,58,24,15
2022/2/26,58,24,14
2022/2/27,64,36,16
2022/2/28,53,17,8
2022/1/3,51,18,13
2022/1/4,59,21,21
2022/1/5,56,23,23
2022/1/6,64,20,21
2022/1/7,58,19,20
2022/1/8,56,20,19
2022/1/9,76,23,22
2022/1/10,61,21,20
2022/1/11,52,19,13
2022/1/12,49,22,12
2022/1/13,46,21,12
2022/1/14,48,25,12
2022/1/15,52,23,10
2022/1/16,58,20,19
2022/1/17,59,18,17
2022/1/18,48,19,15
2022/1/19,55,25,16
2022/1/20,35,12,6
2022/1/21,26,7,6
2022/1/22,24,15,6
2022/1/23,28,15,10
2022/1/24,31,19,16
2022/1/25,32,14,7
2022/1/26,37,12,11
2022/1/27,46,11,7
2022/1/28,41,16,7
2022/1/29,36,12,5
2022/1/30,36,9,3
2022/1/31,35,10,3
2021/10/1,24,11,6
2021/10/2,36,18,7
2021/10/3,33,17,10
2021/10/4,43,19,11
2021/10/5,26,14,7
2021/10/6,34,11,10
2021/10/7,51,20,12
2021/10/8,25,5,5
2021/10/9,22,12,3
2021/10/10,22,8,4
2021/10/11,21,7,4
2021/10/12,19,13,2
2021/10/13,23,8,5
2021/10/14,25,5,7
2021/10/15,31,6,4
2021/10/16,17,6,6
2021/10/17,23,8,9
2021/10/18,38,9,11
2021/10/19,45,20,11
2021/10/20,50,21,13
2021/10/21,37,15,11
2021/10/22,29,9,5
2021/10/23,28,17,5
2021/10/24,30,20,6
2021/10/25,40,26,6
2021/10/26,46,25,8
2021/10/27,50,10,9
2021/10/28,35,17,8
2021/10/29,45,13,10
2021/10/30,28,9,7
2021/10/31,31,11,6
2021/11/1,36,8,7
2021/11/2,35,11,7
2021/11/3,39,13,7
2021/11/4,34,13,9
2021/11/5,43,12,10
2021/11/6,31,13,7
2021/11/7,39,7,8
2021/11/8,35,11,7
2021/11/9,39,18,8
2021/11/10,52,22,7
2021/11/11,48,20,9
2021/11/12,45,14,9
2021/11/13,44,17,6
2021/11/14,45,18,8
2021/11/15,33,11,8
2021/11/16,26,14,7
2021/11/17,30,9,6
2021/11/18,35,19,9
2021/11/19,39,18,9
2021/11/20,40,23,11
2021/11/21,41,8,14
2021/11/22,30,5,7
2021/11/23,32,14,9
2021/11/24,45,22,12
2021/11/25,50,21,12
2021/11/26,43,20,8
2021/11/27,51,24,7
2021/11/28,44,20,7
2021/11/29,50,16,9
2021/11/30,54,16,9
2021/12/1,55,19,8
2021/12/2,56,24,15
2021/12/3,56,24,12
2021/12/4,59,24,8
2021/12/5,58,25,11
2021/12/6,64,13,16
2021/12/7,61,18,14
2021/12/8,55,21,14
2021/12/9,54,20,15
2021/12/10,54,29,15
2021/12/11,47,23,10
2021/12/12,43,19,6
2021/12/13,65,23,14
2021/12/14,63,29,16
2021/12/15,62,29,12
2021/12/16,57,17,12
2021/12/17,48,18,6
2021/12/18,43,21,8
2021/12/19,61,24,12
2021/12/20,75,27,16
2021/12/21,79,31,20
2021/12/22,74,23,24
2021/12/23,65,18,15
2021/12/24,39,14,8
2021/12/25,37,13,8
2021/12/26,49,12,17
2021/12/27,35,18,8
2021/12/28,35,18,7
2021/12/29,35,16,8
2021/12/30,37,18,8
2021/12/31,34,18,7
2022/1/1,35,22,6
2022/1/2,40,17,8
2021/7/1,26,15,10
2021/7/2,25,11,5
2021/7/3,19,14,3
2021/7/4,25,12,3
2021/7/5,39,9,4
2021/7/6,40,8,4
2021/7/7,46,10,4
2021/7/8,28,6,7
2021/7/9,20,4,6
2021/7/10,15,6,4
2021/7/11,17,7,5
2021/7/12,25,13,5
2021/7/13,33,5,8
2021/7/14,24,6,4
2021/7/15,24,7,5
2021/7/16,23,11,4
2021/7/17,20,7,2
2021/7/18,17,7,3
2021/7/19,17,7,3
2021/7/20,18,6,2
2021/7/21,30,6,2
2021/7/22,25,6,4
2021/7/23,30,3,4
2021/7/24,21,4,3
2021/7/25,22,7,4
2021/7/26,21,8,3
