STATION,NAME,DATE,rain,temp
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/1,,24.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/2,,25.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/3,,26.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/4,,26.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/5,,27.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/6,,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/7,,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/8,,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/9,,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/10,,27.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/11,,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/12,,27.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/13,,27
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/14,,24.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/15,,24.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/16,,23.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/17,,25.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/18,,24.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/19,,23
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/20,,24
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/21,,23.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/22,,21.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/23,,21.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/24,,22.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/25,,23.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/26,,25.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/27,,26.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/28,,27.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/29,,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/30,,27.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/1/31,,27.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/1,,27.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/2,,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/3,,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/4,,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/5,,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/6,,27.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/7,,27.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/8,,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/9,,28
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/10,,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/11,,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/12,,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/13,,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/14,,28.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/15,2,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/16,1.8,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/17,0,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/18,,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/19,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/20,,25.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/21,,25.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/22,,28
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/23,,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/24,,28.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/25,,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/26,,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/27,,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/2/28,,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/1,,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/2,,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/3,,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/4,,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/5,,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/6,,28.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/3/7,,28.8
