date, pm10, o3, no2
2022/3/1,66,19,5
2022/3/2,64,18,4
2022/3/3,68,22,2
2022/3/4,64,18,2
2022/3/5,55,15,2
2022/3/6,61,11,3
2022/3/7,38,6,1
2022/3/8,44,13, 
2022/3/9,52,11,1
2022/3/10,53,11,2
2022/3/11,51,10,2
2022/3/12,54,10,2
2022/3/13,56,10,1
2022/3/14,48,9,2
2022/3/15,56,13,3
2022/3/16,60,12,2
2022/3/17,61, ,1
2022/3/18,57, ,3
2022/3/19,51, ,2
2022/3/20,38, ,1
2022/3/21,30,9,1
2022/3/22, , , 
2022/2/1,42,20,3
2022/2/2,39,23,3
2022/2/3,41,24,2
2022/2/4,36,19,1
2022/2/5,42,18,1
2022/2/6,30,16,2
2022/2/7,31,24,3
2022/2/8,36,23,3
2022/2/9,35,25,3
2022/2/10,40,28,3
2022/2/11,42,29,4
2022/2/12,45,28,3
2022/2/13,51,30,2
2022/2/14,49,27,1
2022/2/15,39,25,1
2022/2/16,45,20,2
2022/2/17,41, ,1
2022/2/18,29, ,1
2022/2/19,36,2,1
2022/2/20,42,10,1
2022/2/21,47,5, 
2022/2/22,50,8,2
2022/2/23,48,10,1
2022/2/24,46,12,1
2022/2/25,53,19,2
2022/2/26,57,16,3
2022/2/27,62,15,3
2022/2/28,62,15,3
2022/1/3,36,25,3
2022/1/4,35,23,3
2022/1/5,35,23,3
2022/1/6,38,23,2
2022/1/7,39,24,2
2022/1/8,36,22,2
2022/1/9,37,23,3
2022/1/10,35,21,3
2022/1/11,45,27,3
2022/1/12,51,25,3
2022/1/13,50,27,4
2022/1/14,50,30,1
2022/1/15,32,16, 
2022/1/16,27,19,2
2022/1/17,36,22,1
2022/1/18,40,23,2
2022/1/19,32,23,1
2022/1/20,31,19,3
2022/1/21,29,17,2
2022/1/22,32,21,2
2022/1/23,38,21,2
2022/1/24,35,21,3
2022/1/25,36,21,3
2022/1/26,38,22,4
2022/1/27,37,23,4
2022/1/28,32,19,2
2022/1/29,40,23,2
2022/1/30,45,25,3
2022/1/31,47,22,4
2021/10/1,26,13, 
2021/10/2,23,18, 
2021/10/3,26,16, 
2021/10/4,27,18, 
2021/10/5,27,15, 
2021/10/6,27,18, 
2021/10/7,31,24, 
2021/10/8,38,26, 
2021/10/9,34,18, 
2021/10/10,23,10, 
2021/10/11,19,8, 
2021/10/12,22,10, 
2021/10/13,27,11, 
2021/10/14,20,10, 
2021/10/15,15,7, 
2021/10/16,16,9, 
2021/10/17,23,12, 
2021/10/18,21, , 
2021/10/19,26, , 
2021/10/20,24, , 
2021/10/21,20, , 
2021/10/22,20,4, 
2021/10/23,19,7, 
2021/10/24,26,9, 
2021/10/25,30,11, 
2021/10/26,35,15, 
2021/10/27,24, , 
2021/10/28,27,4, 
2021/10/29,24,5, 
2021/10/30,24,9, 
2021/10/31,22,5, 
2021/11/1,20,9, 
2021/11/2,24,10, 
2021/11/3,30,4, 
2021/11/4,29,12, 
2021/11/5,30,12, 
2021/11/6,29,15, 
2021/11/7,35,12, 
2021/11/8,34,15, 
2021/11/9,32,18, 
2021/11/10,31,19, 
2021/11/11,31,19, 
2021/11/12,29,19, 
2021/11/13,34,20,2
2021/11/14,37,4,1
2021/11/15,35,20, 
2021/11/16,35,25, 
2021/11/17,36,23, 
2021/11/18,38,22, 
2021/11/19,35,18, 
2021/11/20,26,18, 
2021/11/21,33,22, 
2021/11/22,35,20,1
2021/11/23,29,17,1
2021/11/24,33,17,1
2021/11/25,36,24,2
2021/11/26,28,16, 
2021/11/27,23,12,1
2021/11/28,32,11,2
2021/11/29,27,15,1
2021/11/30,33,14,2
2021/12/1,35,15,1
2021/12/2,34,15,1
2021/12/3,36,19,1
2021/12/4,37,19,3
2021/12/5,39,23,3
2021/12/6,48,26,5
2021/12/7,49,23,5
2021/12/8,44,24,4
2021/12/9,34,24,3
2021/12/10,35,25,2
2021/12/11,36,22, 
2021/12/12,41,22, 
2021/12/13,39,21, 
2021/12/14,41,22, 
2021/12/15,38,19, 
2021/12/16,34,18, 
2021/12/17,37,21, 
2021/12/18,39,16, 
2021/12/19,44,19,3
2021/12/20,48,24,2
2021/12/21,47,25,4
2021/12/22,47,24,2
2021/12/23,49,24,1
2021/12/24,50,28,2
2021/12/25,51,23,2
2021/12/26,46,22,1
2021/12/27,40,25,1
2021/12/28,35,26,2
2021/12/29,33,19,3
2021/12/30,31,25,1
2021/12/31,39,27,1
2022/1/1,34,27,2
2022/1/2,35,27,2
2021/7/1,21,11,1
2021/7/2,23,16,1
2021/7/3,22,18,1
2021/7/4,24,16,2
2021/7/5,22,7,1
2021/7/6,18,12,2
2021/7/7,23,16,2
2021/7/8,20,14,2
2021/7/9,26,14,1
2021/7/10,19,13, 
2021/7/11,19,13, 
2021/7/12,21,18, 
2021/7/13,20,24, 
2021/7/14,24,13, 
2021/7/15,20,15, 
2021/7/16,21,18, 
2021/7/17,21,15, 
2021/7/18,22,11, 
2021/7/19,18,8, 
2021/7/20,21,12, 
2021/7/21,19,11, 
2021/7/22,24,12, 
2021/7/23,24,10, 
2021/7/24,28,12, 
2021/7/25,26,11, 
2021/7/26,27,12, 
2021/7/27,25,10, 
2021/7/28,32,12, 
2021/7/29,33,16, 
2021/7/30,28,12, 
2021/7/31,30,8, 
2021/8/1,34,9, 
2021/8/2,29,12, 
2021/8/3,28,15, 
2021/8/4,26,12, 
2021/8/5,25,11, 
2021/8/6,30,14, 
2021/8/7,33,15, 
2021/8/8,33,17, 
2021/8/9,40,17, 
2021/8/10,30,8, 
2021/8/11,34,16, 
2021/8/12,28,11, 
2021/8/13,19,12, 
2021/8/14,20,12, 
2021/8/15,20,7, 
2021/8/16,22,11, 
2021/8/17,24,15, 
2021/8/18,26,10, 
2021/8/19,24,12, 
2021/8/20,26,16, 
2021/8/21,25,20, 
2021/8/22,27,20, 
2021/8/23,25,19, 
