STATION,NAME,DATE,rain,temp
TH000048327,"CHIANG MAI, TH",2014/1/1,,19.7
TH000048327,"CHIANG MAI, TH",2014/1/2,,20.8
TH000048327,"CHIANG MAI, TH",2014/1/3,,21.3
TH000048327,"CHIANG MAI, TH",2014/1/4,,22.2
TH000048327,"CHIANG MAI, TH",2014/1/5,,22.6
TH000048327,"CHIANG MAI, TH",2014/1/6,,22.4
TH000048327,"CHIANG MAI, TH",2014/1/7,,21.6
TH000048327,"CHIANG MAI, TH",2014/1/8,,20.8
TH000048327,"CHIANG MAI, TH",2014/1/9,,21.9
TH000048327,"CHIANG MAI, TH",2014/1/10,,22.3
TH000048327,"CHIANG MAI, TH",2014/1/11,,22.1
TH000048327,"CHIANG MAI, TH",2014/1/12,,21.4
TH000048327,"CHIANG MAI, TH",2014/1/13,,21.3
TH000048327,"CHIANG MAI, TH",2014/1/14,,20.5
TH000048327,"CHIANG MAI, TH",2014/1/15,,20
TH000048327,"CHIANG MAI, TH",2014/1/16,,20
TH000048327,"CHIANG MAI, TH",2014/1/17,,20.1
TH000048327,"CHIANG MAI, TH",2014/1/18,,21.3
TH000048327,"CHIANG MAI, TH",2014/1/19,,18.8
TH000048327,"CHIANG MAI, TH",2014/1/20,,19.7
TH000048327,"CHIANG MAI, TH",2014/1/21,,19.4
TH000048327,"CHIANG MAI, TH",2014/1/22,,18
TH000048327,"CHIANG MAI, TH",2014/1/23,,17.7
TH000048327,"CHIANG MAI, TH",2014/1/24,,18.3
TH000048327,"CHIANG MAI, TH",2014/1/25,,19.9
TH000048327,"CHIANG MAI, TH",2014/1/26,,20.8
TH000048327,"CHIANG MAI, TH",2014/1/27,,20.9
TH000048327,"CHIANG MAI, TH",2014/1/28,,21.6
TH000048327,"CHIANG MAI, TH",2014/1/29,,22.2
TH000048327,"CHIANG MAI, TH",2014/1/30,,22.4
TH000048327,"CHIANG MAI, TH",2014/1/31,,22.9
TH000048327,"CHIANG MAI, TH",2014/2/1,,23.3
TH000048327,"CHIANG MAI, TH",2014/2/2,,23.2
TH000048327,"CHIANG MAI, TH",2014/2/3,,22.8
TH000048327,"CHIANG MAI, TH",2014/2/4,,22.1
TH000048327,"CHIANG MAI, TH",2014/2/5,,21.7
TH000048327,"CHIANG MAI, TH",2014/2/6,,21.6
TH000048327,"CHIANG MAI, TH",2014/2/7,,21.3
TH000048327,"CHIANG MAI, TH",2014/2/8,,21.3
TH000048327,"CHIANG MAI, TH",2014/2/9,,21.6
TH000048327,"CHIANG MAI, TH",2014/2/10,,22.4
TH000048327,"CHIANG MAI, TH",2014/2/11,,22.8
TH000048327,"CHIANG MAI, TH",2014/2/12,,23
TH000048327,"CHIANG MAI, TH",2014/2/13,,23.2
TH000048327,"CHIANG MAI, TH",2014/2/14,,23.8
TH000048327,"CHIANG MAI, TH",2014/2/15,,24.3
TH000048327,"CHIANG MAI, TH",2014/2/16,,25.2
TH000048327,"CHIANG MAI, TH",2014/2/17,,25.8
TH000048327,"CHIANG MAI, TH",2014/2/18,,25.5
TH000048327,"CHIANG MAI, TH",2014/2/19,,25.2
TH000048327,"CHIANG MAI, TH",2014/2/20,,24.6
TH000048327,"CHIANG MAI, TH",2014/2/21,,24.7
TH000048327,"CHIANG MAI, TH",2014/2/22,,24.6
TH000048327,"CHIANG MAI, TH",2014/2/23,,25.1
TH000048327,"CHIANG MAI, TH",2014/2/24,,25.6
TH000048327,"CHIANG MAI, TH",2014/2/25,,25.2
TH000048327,"CHIANG MAI, TH",2014/2/26,,24.8
TH000048327,"CHIANG MAI, TH",2014/2/27,,25.8
TH000048327,"CHIANG MAI, TH",2014/2/28,,25.8
TH000048327,"CHIANG MAI, TH",2014/3/1,,26.3
TH000048327,"CHIANG MAI, TH",2014/3/2,,26.3
TH000048327,"CHIANG MAI, TH",2014/3/3,,26.6
TH000048327,"CHIANG MAI, TH",2014/3/4,,26.4
TH000048327,"CHIANG MAI, TH",2014/3/5,,25.8
TH000048327,"CHIANG MAI, TH",2014/3/6,,25.6
TH000048327,"CHIANG MAI, TH",2014/3/7,,26.6
TH000048327,"CHIANG MAI, TH",2014/3/8,,26.9
TH000048327,"CHIANG MAI, TH",2014/3/9,,26.9
TH000048327,"CHIANG MAI, TH",2014/3/10,,27.2
TH000048327,"CHIANG MAI, TH",2014/3/11,,27.6
TH000048327,"CHIANG MAI, TH",2014/3/12,,27.4
TH000048327,"CHIANG MAI, TH",2014/3/13,,26.8
TH000048327,"CHIANG MAI, TH",2014/3/14,,27.5
TH000048327,"CHIANG MAI, TH",2014/3/15,,27.2
TH000048327,"CHIANG MAI, TH",2014/3/16,,27.9
TH000048327,"CHIANG MAI, TH",2014/3/17,,28.9
TH000048327,"CHIANG MAI, TH",2014/3/18,,29.2
TH000048327,"CHIANG MAI, TH",2014/3/19,,29.5
TH000048327,"CHIANG MAI, TH",2014/3/20,,27.8
TH000048327,"CHIANG MAI, TH",2014/3/21,,27.2
TH000048327,"CHIANG MAI, TH",2014/3/22,,27.4
TH000048327,"CHIANG MAI, TH",2014/3/23,,27.2
