date, pm10, o3, no2
2022/3/1,29,13, 
2022/3/2,33,12, 
2022/3/3,31,15, 
2022/3/4,36,20, 
2022/3/5,29,15, 
2022/3/6,31,14, 
2022/3/7,35,19, 
2022/3/8,52,41, 
2022/3/9,37,17, 
2022/3/10,33,14, 
2022/3/11,36,15, 
2022/3/12,40,17, 
2022/3/13,39,17, 
2022/3/14,25,10, 
2022/3/15,23,11, 
2022/3/16,30,16, 
2022/3/17,28,12, 
2022/3/18,33,26, 
2022/3/19,30,10, 
2022/3/20,25,7, 
2022/3/21,25,7, 
2022/3/22, , , 
2022/2/1,25,12,6
2022/2/2,31,15,7
2022/2/3,32,19,7
2022/2/4,43,25,10
2022/2/5,44,24,9
2022/2/6,55,32,14
2022/2/7,52,32,12
2022/2/8,40,17,8
2022/2/9,31,11,7
2022/2/10,28,11,7
2022/2/11,35,13,11
2022/2/12,31,17,8
2022/2/13,34,10,11
2022/2/14,34,11,8
2022/2/15,46,19,12
2022/2/16,41,10,13
2022/2/17,29,9, 
2022/2/18,23,9, 
2022/2/19,19,6, 
2022/2/20,22,9, 
2022/2/21,27,16, 
2022/2/22,36,25, 
2022/2/23,40,23, 
2022/2/24,44,24, 
2022/2/25,45,27, 
2022/2/26,50,26, 
2022/2/27,53,43, 
2022/2/28,40,19, 
2022/1/3,34,20,8
2022/1/4,42,32,12
2022/1/5,47,28,14
2022/1/6,49,23,14
2022/1/7,47,21,15
2022/1/8,43,27,11
2022/1/9,49,30,15
2022/1/10,48,24,17
2022/1/11,46,17,9
2022/1/12,40,19,8
2022/1/13,46,11,11
2022/1/14,49,10,12
2022/1/15,43,13,12
2022/1/16,59,24,16
2022/1/17,54,4,11
2022/1/18,46,10,12
2022/1/19,52,10,10
2022/1/20,33,14,7
2022/1/21,25,15,6
2022/1/22,26,14,7
2022/1/23,33,20,9
2022/1/24,38,28,10
2022/1/25,35,15,9
2022/1/26,35,17,7
2022/1/27,37,16,8
2022/1/28,37,18,7
2022/1/29,34,19,7
2022/1/30,26,13,5
2022/1/31,27,16,5
2021/10/1,19,11,4
2021/10/2,25,20,5
2021/10/3,26,20,6
2021/10/4,30,28,8
2021/10/5,26,24,6
2021/10/6,22,15,6
2021/10/7,27,17,7
2021/10/8,15,7,3
2021/10/9,14,9,3
2021/10/10,17,8,3
2021/10/11,16,9,4
2021/10/12,16,11,2
2021/10/13,16,9,3
2021/10/14,17,7,5
2021/10/15,20,8,4
2021/10/16,15,8,4
2021/10/17,15,11,5
2021/10/18,26,24,7
2021/10/19,44,30,11
2021/10/20,38,25,9
2021/10/21,28,18,8
2021/10/22,19,8,5
2021/10/23,19,16,3
2021/10/24,23,18,4
2021/10/25,28,23,6
2021/10/26,30,20,7
2021/10/27,29,13,7
2021/10/28,27,28,7
2021/10/29,37,17,11
2021/10/30,22,9,7
2021/10/31,28,10,7
2021/11/1,31,9,7
2021/11/2,33,12,8
2021/11/3,29,13,7
2021/11/4,31,19,6
2021/11/5,29,23,6
2021/11/6,31,18,8
2021/11/7,29,7,7
2021/11/8,21,9,5
2021/11/9,26,18,5
2021/11/10,29,22,6
2021/11/11,35,16,6
2021/11/12,31,14,6
2021/11/13,30,13,4
2021/11/14,32,15,6
2021/11/15,29,8,8
2021/11/16,23,9,6
2021/11/17,25,11,6
2021/11/18,22,11,6
2021/11/19,37,15,9
2021/11/20,36,11,9
2021/11/21,37,9,9
2021/11/22,22,8,5
2021/11/23,21,13,5
2021/11/24,33,21,7
2021/11/25,31,21,6
2021/11/26,35,21,6
2021/11/27,40,23,5
2021/11/28,35,20,6
2021/11/29,41,19,6
2021/11/30,47,17,6
2021/12/1,42,19,5
2021/12/2,40,23,7
2021/12/3,45,25,9
2021/12/4,46,25,9
2021/12/5,45,25,7
2021/12/6,49,27,9
2021/12/7,46,26,9
2021/12/8,36,24,8
2021/12/9,36,18,9
2021/12/10,43,22,9
2021/12/11,41,21,7
2021/12/12,33,19,6
2021/12/13,47,25,9
2021/12/14,49,32,13
2021/12/15,61,33,17
2021/12/16,51,12,14
2021/12/17,40,11,7
2021/12/18,35,12,7
2021/12/19,44,14,7
2021/12/20,60,3,15
2021/12/21,70,2,15
2021/12/22,61,1,9
2021/12/23,53,20,8
2021/12/24,39,13,10
2021/12/25,35,14,7
2021/12/26,29,20,9
2021/12/27,24,20,6
2021/12/28,25,17,6
2021/12/29,26,16,5
2021/12/30,26,17,4
2021/12/31,27,17,4
2022/1/1,29,18,6
2022/1/2,31,18,6
2021/7/1,21,10,4
2021/7/2,17,15,2
2021/7/3,17,19,2
2021/7/4,23,20,4
2021/7/5,19,9,4
2021/7/6,13,6,2
2021/7/7,14,7,2
2021/7/8,25,9,7
2021/7/9,21,10,4
2021/7/10,15,8,3
2021/7/11,19,7,4
2021/7/12,29,11,9
2021/7/13,23,11,6
2021/7/14,18,9,4
2021/7/15,15,10,4
2021/7/16,13,10,2
2021/7/17,13,7,1
2021/7/18,12,8, 
2021/7/19,15,9,1
2021/7/20,16,8,3
2021/7/21,28,8,2
2021/7/22,21,9,2
2021/7/23,25,7,1
2021/7/24,19,7,2
2021/7/25,18,8,2
2021/7/26,16,7,3
2021/7/27,16,8,1
2021/7/28,18,8,2
2021/7/29,22,9,2
2021/7/30,19,9,1
2021/7/31,17,10,1
2021/8/1,20,8,1
2021/8/2,16,8, 
2021/8/3,20,9,1
2021/8/4,22,8,2
2021/8/5,18,8,1
2021/8/6,19,8,1
2021/8/7,19,9,1
2021/8/8,19,13,1
2021/8/9,19,9,2
2021/8/10,19,6,2
2021/8/11,15,8,2
2021/8/12,15,12,1
2021/8/13,15,7,2
2021/8/14,16,6,2
2021/8/15,14,8,2
2021/8/16,19,14,5
2021/8/17,26,21,5
2021/8/18,25,14,5
2021/8/19,25,11,6
2021/8/20,25,11,5
2021/8/21,21,7,4
2021/8/22,18,11,2
2021/8/23,16,11,2
2021/8/24,16,7,3
2021/8/25,15,6,4
2021/8/26,14,6,4
2021/8/27,14,5,3
2021/8/28,15,9,3
2021/8/29,22,6,5
2021/8/30,20,8,4
2021/8/31,20,24,5
2021/9/1,18,14,4
2021/9/2,16,7,2
2021/9/3,16,8,3
2021/9/4,17,2,4
2021/9/5,21,19,2
2021/9/6,19,10,5
2021/9/7,20,26,4
2021/9/8,23,7,6
2021/9/9,15,7,4
2021/9/10,14,9,3
2021/9/11,20,11,2
2021/9/12,21,16,1
2021/9/13,17,12,1
2021/9/14,15,8,4
2021/9/15,19,6,5
2021/9/16,18,9,4
2021/9/17,26,15,5
2021/9/18,23,10,5
2021/9/19,24,9,6
2021/9/20,23,10,6
2021/9/21,16,6,4
2021/9/22,17,8,3
2021/9/23,17,11,3
2021/9/24,14,6,2
2021/9/25,14,8,4
2021/9/26,25,14,7
2021/9/27,30,26,4
2021/9/28,38,31,7
2021/9/29,34,11,7
2021/9/30,28,9,6
2021/4/1,15,9,3
2021/4/2,24,15,4
2021/4/3,22,9,5
2021/4/4,25,13,6
2021/4/5,35,17,9
2021/4/6,38,25,10
2021/4/7,37,22,7
2021/4/8,37,15,9
2021/4/9,39,23,8
2021/4/10,36,18,8
2021/4/11,35,17,8
2021/4/12,28,15,4
2021/4/13,22,10,4
2021/4/14,24,16,3
2021/4/15,27,12,7
2021/4/16,26,19,4
2021/4/17,22,13,3
2021/4/18,20,12,3
2021/4/19,18,13,5
2021/4/20,18,13,3
2021/4/21,27,15,5
2021/4/22,30,14,4
2021/4/23,31,13,7
2021/4/24,33,13,3
2021/4/25,38,11,9
2021/4/26,26,18,6
2021/4/27,27,25,6
2021/4/28,24,12,7
2021/4/29,30,14,9
2021/4/30,30,13,9
2021/5/1,33,26,7
2021/5/2,31,24,7
2021/5/3,30,16,6
2021/5/4,35,33,9
2021/5/5,25,18,8
2021/5/6,21,15,7
2021/5/7,27,21,8
2021/5/8,30,21,6
2021/5/9,27,15,4
2021/5/10,26,12,5
2021/5/11,24,13,4
2021/5/12,18,13,4
2021/5/13,19,15,4
2021/5/14,22,14,6
2021/5/15,23,15,5
2021/5/16,27,14,5
2021/5/17,24,9,8
2021/5/18,25,26,5
2021/5/19,22,19,6
2021/5/20,20,8,5
2021/5/21,15,13,2
2021/5/22,14,13,2
2021/5/23,18,10,3
2021/5/24,20,10,3
2021/5/25,20,14,3
2021/5/26,21,12,4
2021/5/27,23,9,7
2021/5/28,16,10,3
2021/5/29,14,10,2
2021/5/30,20,10,4
2021/5/31,22,11,3
2021/6/1,23,13,3
2021/6/2,20,10,3
2021/6/3,32,10,4
2021/6/4,22,9,2
2021/6/5,18,9,2
2021/6/6,14,9,1
2021/6/7,14,11,1
2021/6/8,14,10,2
2021/6/9,12,9,1
2021/6/10,19,11,2
2021/6/11,19,9,1
2021/6/12,22,7,3
2021/6/13,19,8,2
2021/6/14,15,8,1
2021/6/15,15,8,3
2021/6/16,19,11,3
2021/6/17,25,9,6
2021/6/18,23,17,4
2021/6/19,22,15,3
2021/6/20,28,10,3
2021/6/21,41,8,3
2021/6/22,25,9,1
2021/6/23,14,13,1
2021/6/24,22,9,1
2021/6/25,24,10,3
2021/6/26,19,9,2
2021/6/27,40,10,3
2021/6/28,29,7,6
2021/6/29,22,8,4
2021/6/30,18,10,3
2021/1/4,41,20,11
2021/1/5,43,17,9
2021/1/6,37,15,8
2021/1/7,32,12,6
2021/1/8,30,17,5
2021/1/9,34,18,4
2021/1/10,37,16,6
2021/1/11,46,20,5
2021/1/12,53,27,10
2021/1/13,62,35,15
2021/1/14,67,42,17
2021/1/15,58,26,12
2021/1/16,54,23,7
2021/1/17,40,21,6
2021/1/18,54,26,10
2021/1/19,60,32,14
2021/1/20,68,37,18
2021/1/21,70,49,18
2021/1/22,64,30,16
2021/1/23,36,17,6
2021/1/24,33,13,6
2021/1/25,38,17,8
2021/1/26,43,22,8
2021/1/27,36,19,7
2021/1/28,50,18,9
2021/1/29,65,22,13
2021/1/30,59,25,8
2021/1/31,62,25,12
2021/2/1,67,40,14
2021/2/2,66,30,15
2021/2/3,60,14,12
2021/2/4,61,9,17
2021/2/5,62,12,13
2021/2/6,58,24,13
2021/2/7,41,12,6
2021/2/8,26,8,5
2021/2/9,28,5,10
2021/2/10,54,22,13
2021/2/11,40,36,11
2021/2/12,40,25,9
2021/2/13,34,23,6
2021/2/14,35,20,5
2021/2/15,35,19,5
2021/2/16,41,20,8
2021/2/17,52,21,9
2021/2/18,48,20,9
2021/2/19,52,22,11
2021/2/20,64,35,12
2021/2/21,67,9,16
2021/2/22,44,20,6
2021/2/23,44,18,5
2021/2/24,52,21,9
2021/2/25,47,8,7
2021/2/26,51,3,8
2021/2/27,51,1,9
2021/2/28,29,9,4
2021/3/1,22,11,4
2021/3/2,20,7,5
2021/3/3,28,14,4
2021/3/4,27,11,3
2021/3/5,30,17,4
2021/3/6,30,12,3
2021/3/7,33,13,7
2021/3/8,31,14,6
2021/3/9,37,16,5
2021/3/10,35,16,6
2021/3/11,34,17,5
2021/3/12,34,14,5
2021/3/13,32,15,3
2021/3/14,33,15,3
2021/3/15,40,15,4
2021/3/16,41,18,4
2021/3/17,49,21,5
2021/3/18,42,19,4
2021/3/19,40,20,4
2021/3/20,33,18,3
2021/3/21,42,18,8
2021/3/22,37,22,6
2021/3/23,45,33,8
2021/3/24,51,27,9
2021/3/25,26,13,4
2021/3/26,27,12,3
2021/3/27,26,14,3
2021/3/28,28,15,3
2021/3/29,32,15,4
2021/3/30,29,14,3
2021/3/31,22,11,3
2020/10/1,18,15,3
2020/10/2,16,10,5
2020/10/3,15,9,4
2020/10/4,20,17,4
2020/10/5,24,18,8
2020/10/6,27,13,7
2020/10/7,15,9,6
2020/10/8,14,5,7
2020/10/9,15,11,7
2020/10/10,21,12,6
2020/10/11,30,19,6
2020/10/12,20,9,5
2020/10/13,20,15,4
2020/10/14,22,13,5
2020/10/15,19,7,6
2020/10/16,12,7,5
2020/10/17,13,10,5
2020/10/18,22,20,6
2020/10/19,22,16,7
2020/10/20,22,17,7
2020/10/21,22,15,7
2020/10/22,32,19,6
2020/10/23,43,22,8
2020/10/24,46,28,10
2020/10/25,48,34,7
2020/10/26,35,17,7
2020/10/27,37,28,9
2020/10/28,22,13,5
2020/10/29,18,9,7
2020/10/30,25,10,7
2020/10/31,19,8,7
2020/11/1,27,14,8
2020/11/2,32,13,7
2020/11/3,33,19,8
2020/11/4,31,22,9
2020/11/5,30,21,8
2020/11/6,22,16,4
2020/11/7,36,17,4
2020/11/8,40,21,6
2020/11/9,40,24,5
2020/11/10,40,24,7
2020/11/11, , , 
2020/11/13,43,26,8
2020/11/14,47,25,10
2020/11/15,28,19,5
2020/11/16,33,19,8
2020/11/17,31,16,8
2020/11/18,43,33,10
2020/11/19,35,23,8
2020/11/20,35,20,9
2020/11/21,26,26,7
2020/11/22,30,15,9
2020/11/23,30,10,7
2020/11/24,31,11,8
2020/11/25,29,11,7
2020/11/26,26,12,7
2020/11/27,30,16,7
2020/11/28,23,17,7
2020/11/29,25,18,6
2020/11/30,21,18,6
2020/12/1,22,17,6
2020/12/2,25,18,6
2020/12/3,31,19,7
2020/12/4,34,21,7
2020/12/5,32,21,8
2020/12/6,32,23,8
2020/12/7,35,20,9
2020/12/8,38,22,11
2020/12/9,40,28,8
2020/12/10,54,37,13
2020/12/11,41,29,9
2020/12/12,52,37,12
2020/12/13,48,30,12
2020/12/14,35,13,9
2020/12/15,29,10,8
2020/12/16,30,18,8
2020/12/17,28,21,8
2020/12/18,27,20,6
2020/12/19,28,18,5
2020/12/20,34,20,7
2020/12/21,42,23,10
2020/12/22,53,27,15
2020/12/23,55,25,18
2020/12/24,38,14,10
2020/12/25,32,16,7
2020/12/26,34,25,7
2020/12/27,32,14,10
2020/12/28,34,22,9
2020/12/29,38,13,7
2020/12/30,31,19,3
2020/12/31,27,19,3
2021/1/1,30,21,5
2021/1/2,42,23,6
2021/1/3,34,18,6
2020/7/1,21,7,4
2020/7/2,18,7,3
2020/7/3,24,7,5
2020/7/4,20,9,4
2020/7/5,19,18,2
2020/7/6,20,7,6
2020/7/7,19,10,5
2020/7/8,18,8,4
2020/7/9,21,10,4
2020/7/10,22,16,4
2020/7/11,19,10,3
2020/7/12,19,5,4
2020/7/13,20,13,4
2020/7/14,17,11,3
2020/7/15,17,13,4
2020/7/16,19,14,6
2020/7/17,23,12,7
2020/7/18,17,10,3
2020/7/19,27,11,6
2020/7/20,35,5,9
2020/7/21,33,8,10
2020/7/22,23,9,6
2020/7/23,19,9,6
2020/7/24,27,6,7
2020/7/25,20,9,4
2020/7/26,14,10,2
2020/7/27,17,7,2
2020/7/28,17,14,4
2020/7/29,16,12,4
2020/7/30,17,9,2
2020/7/31,15,7,1
2020/8/1,17,6, 
2020/8/2,20,6,1
2020/8/3,23,7,3
2020/8/4,17,7,3
2020/8/5,16,7,3
2020/8/6,18,7,5
2020/8/7,17,7,4
2020/8/8,15,7,2
2020/8/9,15,7,2
2020/8/10,16,6,3
2020/8/11,16,6,3
2020/8/12,14,8,3
2020/8/13,19,8,3
2020/8/14,21,7,3
2020/8/15,19,8,3
2020/8/16,23,8,3
2020/8/17,26,10,4
2020/8/18,25,14,4
2020/8/19,26,7,6
2020/8/20,19,10,4
2020/8/21,16,7,3
2020/8/22,14,7,2
2020/8/23,19,10,4
2020/8/24,26,23,5
2020/8/25,25,15,4
2020/8/26,16,11,3
2020/8/27,18,8,4
2020/8/28,19,12,6
2020/8/29,23,14,6
2020/8/30,23,12,6
2020/8/31,18,12,5
2020/9/1,24,13,6
2020/9/2,23,18,6
2020/9/3,20,17,6
2020/9/4,19,9,6
2020/9/5,15,8,3
2020/9/6,21,8,5
2020/9/7,21,9,6
2020/9/8,26,9,6
2020/9/9,41,10,5
2020/9/10,13,9,5
2020/9/11,11,8,5
2020/9/12,11,8,4
2020/9/13,13,9,6
2020/9/14,10,6,5
2020/9/15,17,11,6
2020/9/16,10,14,3
2020/9/17,6,6,2
2020/9/18,7,6,1
2020/9/19,6,3,4
2020/9/20,23,8,4
2020/9/21,21,20,3
2020/9/22,31,17,8
2020/9/23,18,11,4
2020/9/24,18,9,4
2020/9/25,16,9,3
2020/9/26,16,10,3
2020/9/27,15,7,6
2020/9/28,14,8,4
2020/9/29,14,6,2
2020/9/30,12,6,2
2020/4/1,26,15,3
2020/4/2,26,14,4
2020/4/3,26,13,3
2020/4/4,29,17,3
2020/4/5,29,18,2
2020/4/6,28,13,4
2020/4/7,22,14,3
2020/4/8,31,17,3
2020/4/9,32,16,5
2020/4/10,35,19,5
2020/4/11,23,13,2
2020/4/12,30,16,5
2020/4/13,42,23,6
2020/4/14,42,31,7
2020/4/15,30,18,5
2020/4/16,28,13,6
2020/4/17,22,21,5
2020/4/18,20,13,2
2020/4/19,24,13,4
2020/4/20,21,13,2
2020/4/21,24,15,3
2020/4/22,33,15,4
2020/4/23,29,24,6
2020/4/24,35,21,8
2020/4/25,45,29,7
2020/4/26,35,27,4
2020/4/27,35,28,6
2020/4/28,41,26,8
2020/4/29,38,20,6
2020/4/30,26,15,3
2020/5/1,22,14,3
2020/5/2,20,14,2
2020/5/3,27,22,4
2020/5/4,27,18,4
2020/5/5,23,16,2
2020/5/6,24,16,2
2020/5/7,19,14,4
2020/5/8,16,15,3
2020/5/9,16,11,1
2020/5/10,16,10,6
2020/5/11,17,21,5
2020/5/12,26,15,4
2020/5/13,29,16,5
2020/5/14,22,11,4
2020/5/15,23,17,3
2020/5/16,19,14,2
2020/5/17,20,15,4
2020/5/18,22,10,4
2020/5/19,23,13,3
2020/5/20,27,13,3
2020/5/21,33,16,4
2020/5/22,41,15,4
2020/5/23,32,11,6
2020/5/24,37,8,7
2020/5/25,28,8,5
2020/5/26,20,15,4
2020/5/27,25,16,3
2020/5/28,20,15,5
2020/5/29,15,13,5
2020/5/30,16,14,2
2020/5/31,22,11,4
2020/6/1,20,9,4
2020/6/2,20,5,5
2020/6/3,19,8,4
2020/6/4,19,8,4
2020/6/5,20,9,2
2020/6/6,17,9,2
2020/6/7,17,10,2
2020/6/8,23,9,4
2020/6/9,17,10,4
2020/6/10,20,11,4
2020/6/11,19,13,2
2020/6/12,16,18,2
2020/6/13,22,13,3
2020/6/14,17,5,8
2020/6/15,17,8,4
2020/6/16,15,4,6
2020/6/17,17,12,5
2020/6/18,22,7,4
2020/6/19,19,11,4
2020/6/20,23,21,3
2020/6/21,24,8,5
2020/6/22,22,7,6
2020/6/23,16,8,3
2020/6/24,17,8,4
2020/6/25,17,7,4
2020/6/26,20,8,5
2020/6/27,17,8,4
2020/6/28,16,8,4
2020/6/29,17,8,2
2020/6/30,16,8,2
2020/1/1,39,15,7
2020/1/2,39,15,7
2020/1/3,53,18,10
2020/1/4,61,26,8
2020/1/5,59,32,11
2020/1/6,67,32,13
2020/1/7,70,18,13
2020/1/8,70, ,14
2020/1/9,68, ,13
2020/1/10,55, ,8
2020/1/11,49,13,8
2020/1/12,49,23,6
2020/1/13,45,20,7
2020/1/14,48,29,7
2020/1/15,51,27,7
2020/1/16,52,25,7
2020/1/17,64,28,8
2020/1/18,65,27,5
2020/1/19,66,27,7
2020/1/20,56,22,8
2020/1/21,46,20,8
2020/1/22,44,21,4
2020/1/23,31,15,4
2020/1/24,32,17,3
2020/1/25,25,14,3
2020/1/26,31,16,5
2020/1/27,38,20,7
2020/1/28,37,16,8
2020/1/29,55,27,10
2020/1/30,56,22,9
2020/1/31,65,33,11
2020/2/1,74,34,10
2020/2/2,64,24,8
2020/2/3,54,23,5
2020/2/4,44,18,5
2020/2/5,39,18,4
2020/2/6,39,19,6
2020/2/7,51,27,9
2020/2/8,59,21,8
2020/2/9,56,24,5
2020/2/10,61,28,7
2020/2/11,52,18,6
2020/2/12,27,11,3
2020/2/13,25,11,4
2020/2/14,27,18,4
2020/2/15,22,14,3
2020/2/16,30,16,6
2020/2/17,47,20,7
2020/2/18,52,30,8
2020/2/19,66,24,18
2020/2/20,60,21,13
2020/2/21,61,20,10
2020/2/22,60,21,7
2020/2/23,66,31,9
2020/2/24,78,25,14
2020/2/25,58,23,8
2020/2/26,49,21,5
2020/2/27,51,16,8
2020/2/28,39,15,8
2020/2/29,35,16,4
2020/3/1,37,15,3
2020/3/2,29,9,3
2020/3/3,24,10,4
2020/3/4,26,13,4
2020/3/5,28,11,4
2020/3/6,30,11,6
2020/3/7,30,14,4
2020/3/8,41,22,7
2020/3/9,42,21,6
2020/3/10,48,21,7
2020/3/11,37,16,4
2020/3/12,35,15,3
2020/3/13,28,15,3
2020/3/14,75,14,7
2020/3/15,45,21,7
2020/3/16,32,18,4
2020/3/17,33,17,4
2020/3/18,35,17,3
2020/3/19,30,16,3
2020/3/20,34,19,4
2020/3/21,27,15,1
2020/3/22,29,16,1
2020/3/23,25,15,4
2020/3/24,27,16,3
2020/3/25,23,12,3
2020/3/26,23,13,3
2020/3/27,33,18,3
2020/3/28,25,15,2
2020/3/29, , , 
2019/10/1,31,13,8
2019/10/2,35,14,7
2019/10/3,37,8,10
2019/10/4,29,13,9
2019/10/5,25,11,8
2019/10/6,29,13,8
2019/10/7,27,19,8
2019/10/8,30,20,9
2019/10/9,43,24,11
2019/10/10,37,23,9
2019/10/11,28,21,6
2019/10/12,29,18,6
2019/10/13,31,12,7
2019/10/14,27,14,7
2019/10/15,29,12,6
2019/10/16,28,11,7
2019/10/17,28,14,7
2019/10/18,31,15,7
2019/10/19,31,15,6
2019/10/20,32,18,7
2019/10/21,42,32,9
2019/10/22,32,19,7
2019/10/23,30,21,7
2019/10/24,40,24,11
2019/10/25,38,19,9
2019/10/26,32,13,7
2019/10/27,34,16,8
2019/10/28,29,13,8
2019/10/29,30,20,8
2019/10/30,33,23,9
2019/10/31,23,15,8
2019/11/1,33,12,10
2019/11/2,36,21,8
2019/11/3,50,20,11
2019/11/4,46,20,12
2019/11/5,48,25,14
2019/11/6,45,19,13
2019/11/7,53,22,12
2019/11/8,47,22,9
2019/11/9,49,25,10
2019/11/10,51,27,14
2019/11/11,47,27,12
2019/11/12,40,20,11
2019/11/13,26,13,6
2019/11/14,34,20,8
2019/11/15,42,24,9
2019/11/16,41,25,10
2019/11/17,40,23,9
2019/11/18,41,19,14
2019/11/19,33,15,10
2019/11/20,36,20,9
2019/11/21,39,21,12
2019/11/22,43,22,14
2019/11/23,39,24,10
2019/11/24,37,15,10
2019/11/25,30,18,9
2019/11/26,37,15,10
2019/11/27,33,11,7
2019/11/28,34,20,8
2019/11/29,33,16,8
2019/11/30,39,18,9
2019/12/1,33,14,7
2019/12/2,30,21,6
2019/12/3,42,22,8
2019/12/4,48,24,7
2019/12/5,50,23,8
2019/12/6,53,22,5
2019/12/7,50,21,5
2019/12/8,49,23,8
2019/12/9,47,25,10
2019/12/10,57,26,14
2019/12/11,57,21,14
2019/12/12,52,21,11
2019/12/13,48,18,10
2019/12/14,46,18,9
2019/12/15,42,13,8
2019/12/16,47,15,9
2019/12/17,54,26,10
2019/12/18,59,26,9
2019/12/19,60,24,11
2019/12/20,52,24,11
2019/12/21,47,24,10
2019/12/22,41,18,8
2019/12/23,45,24,11
2019/12/24,42,18,10
2019/12/25,42,14,10
2019/12/26,51,24,10
2019/12/27,52,20,7
2019/12/28,61,25,8
2019/12/29, , , 
2019/7/1,26,8,3
2019/7/2,23,15,6
2019/7/3,34,8,5
