STATION,NAME,DATE,rain,temp
TH000048459,"CHON BURI, TH",2014/1/1,,23.7
TH000048459,"CHON BURI, TH",2014/1/2,,24.1
TH000048459,"CHON BURI, TH",2014/1/3,,26
TH000048459,"CHON BURI, TH",2014/1/4,,26.2
TH000048459,"CHON BURI, TH",2014/1/5,,26.3
TH000048459,"CHON BURI, TH",2014/1/6,,27.2
TH000048459,"CHON BURI, TH",2014/1/7,,27.1
TH000048459,"CHON BURI, TH",2014/1/8,,28.2
TH000048459,"CHON BURI, TH",2014/1/9,,28.3
TH000048459,"CHON BURI, TH",2014/1/10,,26.5
TH000048459,"CHON BURI, TH",2014/1/11,,27.3
TH000048459,"CHON BURI, TH",2014/1/12,,27.5
TH000048459,"CHON BURI, TH",2014/1/13,,26.3
TH000048459,"CHON BURI, TH",2014/1/14,,24.3
TH000048459,"CHON BURI, TH",2014/1/15,,22.9
TH000048459,"CHON BURI, TH",2014/1/16,,22.4
TH000048459,"CHON BURI, TH",2014/1/17,,23.7
TH000048459,"CHON BURI, TH",2014/1/18,,23
TH000048459,"CHON BURI, TH",2014/1/19,,22.3
TH000048459,"CHON BURI, TH",2014/1/20,,23.6
TH000048459,"CHON BURI, TH",2014/1/21,,22.4
TH000048459,"CHON BURI, TH",2014/1/22,,20.7
TH000048459,"CHON BURI, TH",2014/1/23,,21.1
TH000048459,"CHON BURI, TH",2014/1/24,,22.2
TH000048459,"CHON BURI, TH",2014/1/25,,23.6
TH000048459,"CHON BURI, TH",2014/1/26,,24.2
TH000048459,"CHON BURI, TH",2014/1/27,,25.6
TH000048459,"CHON BURI, TH",2014/1/28,,26.1
TH000048459,"CHON BURI, TH",2014/1/29,,26.7
TH000048459,"CHON BURI, TH",2014/1/30,,26.8
TH000048459,"CHON BURI, TH",2014/1/31,,26.7
TH000048459,"CHON BURI, TH",2014/2/1,,26.2
TH000048459,"CHON BURI, TH",2014/2/2,,26.6
TH000048459,"CHON BURI, TH",2014/2/3,,27.5
TH000048459,"CHON BURI, TH",2014/2/4,,27.6
TH000048459,"CHON BURI, TH",2014/2/5,,27.5
TH000048459,"CHON BURI, TH",2014/2/6,,27.6
TH000048459,"CHON BURI, TH",2014/2/7,,27.4
TH000048459,"CHON BURI, TH",2014/2/8,,27.4
TH000048459,"CHON BURI, TH",2014/2/9,,27.5
TH000048459,"CHON BURI, TH",2014/2/10,,26.9
TH000048459,"CHON BURI, TH",2014/2/11,,27.7
TH000048459,"CHON BURI, TH",2014/2/12,,27.7
TH000048459,"CHON BURI, TH",2014/2/13,,27.9
TH000048459,"CHON BURI, TH",2014/2/14,,28.1
TH000048459,"CHON BURI, TH",2014/2/15,5.1,28
TH000048459,"CHON BURI, TH",2014/2/16,0.5,28
TH000048459,"CHON BURI, TH",2014/2/17,,28.1
TH000048459,"CHON BURI, TH",2014/2/18,,28.1
TH000048459,"CHON BURI, TH",2014/2/19,,28.2
TH000048459,"CHON BURI, TH",2014/2/20,,24.6
TH000048459,"CHON BURI, TH",2014/2/21,,24.4
TH000048459,"CHON BURI, TH",2014/2/22,,27.6
TH000048459,"CHON BURI, TH",2014/2/23,,28.1
TH000048459,"CHON BURI, TH",2014/2/24,,28
TH000048459,"CHON BURI, TH",2014/2/25,,28.2
TH000048459,"CHON BURI, TH",2014/2/26,,28.1
TH000048459,"CHON BURI, TH",2014/2/27,,27.9
TH000048459,"CHON BURI, TH",2014/2/28,,28.2
TH000048459,"CHON BURI, TH",2014/3/1,,27.8
TH000048459,"CHON BURI, TH",2014/3/2,,27.8
TH000048459,"CHON BURI, TH",2014/3/3,,28.3
TH000048459,"CHON BURI, TH",2014/3/4,,28.1
TH000048459,"CHON BURI, TH",2014/3/5,,28.4
TH000048459,"CHON BURI, TH",2014/3/6,,29.1
TH000048459,"CHON BURI, TH",2014/3/7,,28.7
TH000048459,"CHON BURI, TH",2014/3/8,,28.9
TH000048459,"CHON BURI, TH",2014/3/9,,29.2
TH000048459,"CHON BURI, TH",2014/3/10,,28.9
TH000048459,"CHON BURI, TH",2014/3/11,,28.8
TH000048459,"CHON BURI, TH",2014/3/12,,29.1
TH000048459,"CHON BURI, TH",2014/3/13,,29.5
TH000048459,"CHON BURI, TH",2014/3/14,,29.6
TH000048459,"CHON BURI, TH",2014/3/15,,29.6
TH000048459,"CHON BURI, TH",2014/3/16,,30.3
TH000048459,"CHON BURI, TH",2014/3/17,,30.2
TH000048459,"CHON BURI, TH",2014/3/18,,30.4
TH000048459,"CHON BURI, TH",2014/3/19,,30.1
TH000048459,"CHON BURI, TH",2014/3/20,,30.1
TH000048459,"CHON BURI, TH",2014/3/21,,30.4
TH000048459,"CHON BURI, TH",2014/3/22,99.6,27.1
TH000048459,"CHON BURI, TH",2014/3/23,9.7,29.4
TH000048459,"CHON BURI, TH",2014/3/24,0,29.9
