STATION,NAME,DATE,rain,temp
DRM00078486,"SANTO DOMINGO, DR",2013/8/3,,
DRM00078486,"SANTO DOMINGO, DR",2013/8/4,,28.9
DRM00078486,"SANTO DOMINGO, DR",2013/8/5,,30.1
DRM00078486,"SANTO DOMINGO, DR",2013/8/6,0,29.4
DRM00078486,"SANTO DOMINGO, DR",2013/8/7,,28.1
DRM00078486,"SANTO DOMINGO, DR",2013/8/8,29.2,28.9
DRM00078486,"SANTO DOMINGO, DR",2013/8/11,5.3,26.1
DRM00078486,"SANTO DOMINGO, DR",2013/8/13,,29
DRM00078486,"SANTO DOMINGO, DR",2013/8/14,,28.9
DRM00078486,"SANTO DOMINGO, DR",2013/8/15,0,29.2
DRM00078486,"SANTO DOMINGO, DR",2013/8/16,,28.8
DRM00078486,"SANTO DOMINGO, DR",2013/8/17,,28.8
DRM00078486,"SANTO DOMINGO, DR",2013/8/18,,26.7
DRM00078486,"SANTO DOMINGO, DR",2013/8/19,26.9,28
DRM00078486,"SANTO DOMINGO, DR",2013/8/20,4.8,27.2
DRM00078486,"SANTO DOMINGO, DR",2013/8/21,22.1,28.7
DRM00078486,"SANTO DOMINGO, DR",2013/8/22,1,26.5
DRM00078486,"SANTO DOMINGO, DR",2013/8/23,0.5,29
DRM00078486,"SANTO DOMINGO, DR",2013/8/24,0,26.8
DRM00078486,"SANTO DOMINGO, DR",2013/8/25,0,28.9
DRM00078486,"SANTO DOMINGO, DR",2013/8/26,,28.1
DRM00078486,"SANTO DOMINGO, DR",2013/8/27,6.6,28.5
DRM00078486,"SANTO DOMINGO, DR",2013/8/28,0,27.6
DRM00078486,"SANTO DOMINGO, DR",2013/8/31,1.8,28.7
DRM00078486,"SANTO DOMINGO, DR",2013/9/1,1.3,28.5
DRM00078486,"SANTO DOMINGO, DR",2013/9/2,0,28
DRM00078486,"SANTO DOMINGO, DR",2013/9/3,4.8,28.4
DRM00078486,"SANTO DOMINGO, DR",2013/9/4,3.8,27.8
DRM00078486,"SANTO DOMINGO, DR",2013/9/5,0,27.8
DRM00078486,"SANTO DOMINGO, DR",2013/9/6,35.8,27.7
DRM00078486,"SANTO DOMINGO, DR",2013/9/7,0,28.9
DRM00078486,"SANTO DOMINGO, DR",2013/9/8,7.9,26.5
DRM00078486,"SANTO DOMINGO, DR",2013/9/9,7.9,27.7
DRM00078486,"SANTO DOMINGO, DR",2013/9/11,0,28.6
DRM00078486,"SANTO DOMINGO, DR",2013/9/12,,28.9
DRM00078486,"SANTO DOMINGO, DR",2013/9/19,,29.4
DRM00078486,"SANTO DOMINGO, DR",2013/9/20,,29.8
DRM00078486,"SANTO DOMINGO, DR",2013/9/21,0,26.8
DRM00078486,"SANTO DOMINGO, DR",2013/9/23,,28.1
DRM00078486,"SANTO DOMINGO, DR",2013/9/24,,29.2
DRM00078486,"SANTO DOMINGO, DR",2013/9/25,,28.1
DRM00078486,"SANTO DOMINGO, DR",2013/9/26,,28.3
DRM00078486,"SANTO DOMINGO, DR",2013/9/28,,29.4
DRM00078486,"SANTO DOMINGO, DR",2013/9/29,5.1,28.4
DRM00078486,"SANTO DOMINGO, DR",2013/9/30,10.9,27.9
DRM00078486,"SANTO DOMINGO, DR",2013/10/1,0,28.8
DRM00078486,"SANTO DOMINGO, DR",2013/10/5,,27.9
DRM00078486,"SANTO DOMINGO, DR",2013/10/6,,27.4
DRM00078486,"SANTO DOMINGO, DR",2013/10/7,,27.2
DRM00078486,"SANTO DOMINGO, DR",2013/10/9,,29.8
DRM00078486,"SANTO DOMINGO, DR",2013/10/10,,29.2
DRM00078486,"SANTO DOMINGO, DR",2013/10/11,0.8,26.4
DRM00078486,"SANTO DOMINGO, DR",2013/10/12,0,26.7
DRM00078486,"SANTO DOMINGO, DR",2013/10/13,0.3,29.3
DRM00078486,"SANTO DOMINGO, DR",2013/10/15,79.5,24.8
DRM00078486,"SANTO DOMINGO, DR",2013/10/17,,26.9
DRM00078486,"SANTO DOMINGO, DR",2013/10/18,,27.4
