STATION,NAME,DATE,rain,temp
MXM00076680,"MEXICO CITY, MX",2013/8/3,0,18.8
MXM00076680,"MEXICO CITY, MX",2013/8/4,0,16.4
MXM00076680,"MEXICO CITY, MX",2013/8/5,6.6,17.7
MXM00076680,"MEXICO CITY, MX",2013/8/6,0.3,18.3
MXM00076680,"MEXICO CITY, MX",2013/8/7,0,18.7
MXM00076680,"MEXICO CITY, MX",2013/8/8,7.6,19.2
MXM00076680,"MEXICO CITY, MX",2013/8/9,1.3,17.6
MXM00076680,"MEXICO CITY, MX",2013/8/10,0.3,16.2
MXM00076680,"MEXICO CITY, MX",2013/8/11,0,16.6
MXM00076680,"MEXICO CITY, MX",2013/8/12,6.6,16
MXM00076680,"MEXICO CITY, MX",2013/8/13,5.1,16.3
MXM00076680,"MEXICO CITY, MX",2013/8/14,0,16.8
MXM00076680,"MEXICO CITY, MX",2013/8/15,0,17.5
MXM00076680,"MEXICO CITY, MX",2013/8/16,,16.9
MXM00076680,"MEXICO CITY, MX",2013/8/17,0,16.6
MXM00076680,"MEXICO CITY, MX",2013/8/18,0,17.8
MXM00076680,"MEXICO CITY, MX",2013/8/19,0,16.7
MXM00076680,"MEXICO CITY, MX",2013/8/20,10.4,15.6
MXM00076680,"MEXICO CITY, MX",2013/8/21,7.4,16
MXM00076680,"MEXICO CITY, MX",2013/8/22,0.5,15.8
MXM00076680,"MEXICO CITY, MX",2013/8/23,2,15.8
MXM00076680,"MEXICO CITY, MX",2013/8/24,4.8,17.4
MXM00076680,"MEXICO CITY, MX",2013/8/25,0,17.6
MXM00076680,"MEXICO CITY, MX",2013/8/26,0.8,16.2
MXM00076680,"MEXICO CITY, MX",2013/8/27,14.7,17
MXM00076680,"MEXICO CITY, MX",2013/8/28,0,18.2
MXM00076680,"MEXICO CITY, MX",2013/8/29,0,16.9
MXM00076680,"MEXICO CITY, MX",2013/8/30,3.3,16
MXM00076680,"MEXICO CITY, MX",2013/8/31,1,17.4
MXM00076680,"MEXICO CITY, MX",2013/9/1,7.6,16.2
MXM00076680,"MEXICO CITY, MX",2013/9/2,0,18.7
MXM00076680,"MEXICO CITY, MX",2013/9/3,13.2,14.7
MXM00076680,"MEXICO CITY, MX",2013/9/4,0,15.3
MXM00076680,"MEXICO CITY, MX",2013/9/5,1.5,16.3
MXM00076680,"MEXICO CITY, MX",2013/9/6,45.2,16.1
MXM00076680,"MEXICO CITY, MX",2013/9/7,0,15.1
MXM00076680,"MEXICO CITY, MX",2013/9/8,16.5,15.6
MXM00076680,"MEXICO CITY, MX",2013/9/9,4.8,15.6
MXM00076680,"MEXICO CITY, MX",2013/9/10,25.4,16.6
MXM00076680,"MEXICO CITY, MX",2013/9/11,0.5,17.7
MXM00076680,"MEXICO CITY, MX",2013/9/12,0,16.9
MXM00076680,"MEXICO CITY, MX",2013/9/13,,15.9
MXM00076680,"MEXICO CITY, MX",2013/9/14,7.1,15
MXM00076680,"MEXICO CITY, MX",2013/9/15,0,15.5
MXM00076680,"MEXICO CITY, MX",2013/9/16,4.1,15
MXM00076680,"MEXICO CITY, MX",2013/9/17,2,16.9
MXM00076680,"MEXICO CITY, MX",2013/9/18,20.3,15.8
MXM00076680,"MEXICO CITY, MX",2013/9/19,1.5,17.7
MXM00076680,"MEXICO CITY, MX",2013/9/20,0,18.1
MXM00076680,"MEXICO CITY, MX",2013/9/21,,17.8
MXM00076680,"MEXICO CITY, MX",2013/9/22,16,17.6
MXM00076680,"MEXICO CITY, MX",2013/9/23,0.8,19.5
MXM00076680,"MEXICO CITY, MX",2013/9/24,0,18.7
MXM00076680,"MEXICO CITY, MX",2013/9/25,24.1,16.5
MXM00076680,"MEXICO CITY, MX",2013/9/26,0,16.4
MXM00076680,"MEXICO CITY, MX",2013/9/27,0,17.8
MXM00076680,"MEXICO CITY, MX",2013/9/28,0,19.6
MXM00076680,"MEXICO CITY, MX",2013/9/30,3,17.9
MXM00076680,"MEXICO CITY, MX",2013/10/1,0,19.3
MXM00076680,"MEXICO CITY, MX",2013/10/2,0,19.1
MXM00076680,"MEXICO CITY, MX",2013/10/3,0,17.6
MXM00076680,"MEXICO CITY, MX",2013/10/4,0,16.8
MXM00076680,"MEXICO CITY, MX",2013/10/5,0,19.8
MXM00076680,"MEXICO CITY, MX",2013/10/6,9.4,17.3
MXM00076680,"MEXICO CITY, MX",2013/10/7,0.5,16.1
MXM00076680,"MEXICO CITY, MX",2013/10/8,0.8,15.7
MXM00076680,"MEXICO CITY, MX",2013/10/9,0,18.2
MXM00076680,"MEXICO CITY, MX",2013/10/10,,18.1
MXM00076680,"MEXICO CITY, MX",2013/10/11,15.2,17
MXM00076680,"MEXICO CITY, MX",2013/10/12,0.3,17.3
MXM00076680,"MEXICO CITY, MX",2013/10/13,0,18.2
MXM00076680,"MEXICO CITY, MX",2013/10/14,0,17.8
MXM00076680,"MEXICO CITY, MX",2013/10/15,0,17.2
MXM00076680,"MEXICO CITY, MX",2013/10/16,,19
MXM00076680,"MEXICO CITY, MX",2013/10/17,0,19.6
MXM00076680,"MEXICO CITY, MX",2013/10/18,0,17.8
MXM00076680,"MEXICO CITY, MX",2013/10/19,4.6,16.9
MXM00076680,"MEXICO CITY, MX",2013/10/20,42.4,13.5
MXM00076680,"MEXICO CITY, MX",2013/10/21,0,16.6
MXM00076680,"MEXICO CITY, MX",2013/10/22,0,15.4
MXM00076680,"MEXICO CITY, MX",2013/10/23,,12.6
MXM00076680,"MEXICO CITY, MX",2013/10/24,1,12.4
MXM00076680,"MEXICO CITY, MX",2013/10/25,0,12.7
