date, pm10, o3, no2
2022/3/1, , ,4
2022/3/2, , ,3
2022/3/3, , ,4
2022/3/4, , ,2
2022/3/5, , , 
2022/3/6, , ,2
2022/3/7, , ,3
2022/3/8, , ,3
2022/3/9, , ,5
2022/3/10, , ,3
2022/3/11, , ,4
2022/3/12, , ,2
2022/3/13, , ,2
2022/3/14, , ,2
2022/3/15, , ,2
2022/3/16, , ,3
2022/3/17, , ,1
2022/3/18, , ,3
2022/3/19, , ,1
2022/3/20, , , 
2022/3/21, , ,1
2022/3/22, , , 
2022/2/1,49, ,8
2022/2/2,39, ,7
2022/2/3,50, ,6
2022/2/4,40, ,5
2022/2/5,34, ,4
2022/2/6,58, ,8
2022/2/7,51, ,10
2022/2/8,62, ,12
2022/2/9,60, ,8
2022/2/10,170, ,8
2022/2/11,31, ,6
2022/2/12,41, ,7
2022/2/13,35, ,6
2022/2/14,32, ,6
2022/2/15,30, ,6
2022/2/16,37, ,8
2022/2/17,28, ,7
2022/2/18,25, ,4
2022/2/19,25, ,2
2022/2/20,22, ,1
2022/2/21,29, ,2
2022/2/22,34, ,2
2022/2/23,41, ,4
2022/2/24,49, ,3
2022/2/25, , ,4
2022/2/26, , ,3
2022/2/27, , ,5
2022/2/28, , ,6
2022/1/3,55,18,9
2022/1/4,53,19,10
2022/1/5,55,22,10
2022/1/6,56,21,11
2022/1/7,57,23,9
2022/1/8,55,11,10
2022/1/9,64,1,12
2022/1/10,69,1,13
2022/1/11,65,1,11
2022/1/12,63,1,12
2022/1/13,59,1,10
2022/1/14,65,1,9
2022/1/15,65,1,11
2022/1/16,71,1,10
2022/1/17,68,1,11
2022/1/18,50,1,10
2022/1/19,56,1,10
2022/1/20,43,1,5
2022/1/21,40,1,6
2022/1/22,36,1,7
2022/1/23,47, ,11
2022/1/24,55, ,8
2022/1/25,57, ,7
2022/1/26,61, ,8
2022/1/27,65, ,7
2022/1/28,63, ,8
2022/1/29,37, ,8
2022/1/30,53, ,10
2022/1/31,43, ,6
2021/10/1,25,15, 
2021/10/2,22,14, 
2021/10/3,27,15, 
2021/10/4,25,14, 
2021/10/5,23,12, 
2021/10/6,18,14, 
2021/10/7,24,17, 
2021/10/8,36,18, 
2021/10/9,30,15, 
2021/10/10,21,12, 
2021/10/11,17,13, 
2021/10/12,17,9, 
2021/10/13,22,12, 
2021/10/14,16,7, 
2021/10/15,23,13, 
2021/10/16,13,11, 
2021/10/17,11,9, 
2021/10/18,18,9, 
2021/10/19,30,14, 
2021/10/20,37,17, 
2021/10/21,29,12, 
2021/10/22,22,14, 
2021/10/23,20,15, 
2021/10/24,29,15, 
2021/10/25,33,15, 
2021/10/26,35,12, 
2021/10/27,35,11, 
2021/10/28,24,10,6
2021/10/29,21,11,2
2021/10/30,20,11,3
2021/10/31,24,12,5
2021/11/1,22,12,4
2021/11/2,30,11,7
2021/11/3,32,13,6
2021/11/4,32,14,7
2021/11/5,37,19,5
2021/11/6,41,18,5
2021/11/7,30,11,4
2021/11/8,27,15,6
2021/11/9,32,18,6
2021/11/10,37,17,6
2021/11/11,43,18,7
2021/11/12,39,18,6
2021/11/13,41,18,6
2021/11/14,47,22,6
2021/11/15,43,18,7
2021/11/16,40,18,4
2021/11/17,36,16,7
2021/11/18,34,19,9
2021/11/19,117,24,11
2021/11/20,39,22,8
