STATION,NAME,DATE,rain,temp
TH000048400,"NAKHON SAWAN, TH",2014/1/1,,21.9
TH000048400,"NAKHON SAWAN, TH",2014/1/2,,22.5
TH000048400,"NAKHON SAWAN, TH",2014/1/3,,24.4
TH000048400,"NAKHON SAWAN, TH",2014/1/4,,24.7
TH000048400,"NAKHON SAWAN, TH",2014/1/5,,24.8
TH000048400,"NAKHON SAWAN, TH",2014/1/6,,25.7
TH000048400,"NAKHON SAWAN, TH",2014/1/7,,26.4
TH000048400,"NAKHON SAWAN, TH",2014/1/8,,26.4
TH000048400,"NAKHON SAWAN, TH",2014/1/9,,25.8
TH000048400,"NAKHON SAWAN, TH",2014/1/10,,25.1
TH000048400,"NAKHON SAWAN, TH",2014/1/11,,24.7
TH000048400,"NAKHON SAWAN, TH",2014/1/12,,24.6
TH000048400,"NAKHON SAWAN, TH",2014/1/13,,23.9
TH000048400,"NAKHON SAWAN, TH",2014/1/14,,22.3
TH000048400,"NAKHON SAWAN, TH",2014/1/15,,21.1
TH000048400,"NAKHON SAWAN, TH",2014/1/16,,20.8
TH000048400,"NAKHON SAWAN, TH",2014/1/17,,21.9
TH000048400,"NAKHON SAWAN, TH",2014/1/18,,22.1
TH000048400,"NAKHON SAWAN, TH",2014/1/19,,20.5
TH000048400,"NAKHON SAWAN, TH",2014/1/20,,21.6
TH000048400,"NAKHON SAWAN, TH",2014/1/21,,20.7
TH000048400,"NAKHON SAWAN, TH",2014/1/22,,19.1
TH000048400,"NAKHON SAWAN, TH",2014/1/23,,18.3
TH000048400,"NAKHON SAWAN, TH",2014/1/24,,19.4
TH000048400,"NAKHON SAWAN, TH",2014/1/25,,20.8
TH000048400,"NAKHON SAWAN, TH",2014/1/26,,22.4
TH000048400,"NAKHON SAWAN, TH",2014/1/27,,23.8
TH000048400,"NAKHON SAWAN, TH",2014/1/28,,24.6
TH000048400,"NAKHON SAWAN, TH",2014/1/29,,25.2
TH000048400,"NAKHON SAWAN, TH",2014/1/30,,25.3
TH000048400,"NAKHON SAWAN, TH",2014/1/31,,25.3
TH000048400,"NAKHON SAWAN, TH",2014/2/1,,25.1
TH000048400,"NAKHON SAWAN, TH",2014/2/2,,27.3
TH000048400,"NAKHON SAWAN, TH",2014/2/3,,27.6
TH000048400,"NAKHON SAWAN, TH",2014/2/4,,28.1
TH000048400,"NAKHON SAWAN, TH",2014/2/5,,28.5
TH000048400,"NAKHON SAWAN, TH",2014/2/6,,28.4
TH000048400,"NAKHON SAWAN, TH",2014/2/7,,28.1
TH000048400,"NAKHON SAWAN, TH",2014/2/8,,28.4
TH000048400,"NAKHON SAWAN, TH",2014/2/9,,27.3
TH000048400,"NAKHON SAWAN, TH",2014/2/10,,26.3
TH000048400,"NAKHON SAWAN, TH",2014/2/11,,28.1
TH000048400,"NAKHON SAWAN, TH",2014/2/12,,28.2
TH000048400,"NAKHON SAWAN, TH",2014/2/13,,28.4
TH000048400,"NAKHON SAWAN, TH",2014/2/14,,28.5
TH000048400,"NAKHON SAWAN, TH",2014/2/15,,29.3
TH000048400,"NAKHON SAWAN, TH",2014/2/16,,29
TH000048400,"NAKHON SAWAN, TH",2014/2/17,,29.1
TH000048400,"NAKHON SAWAN, TH",2014/2/18,,29.3
TH000048400,"NAKHON SAWAN, TH",2014/2/19,,29.2
TH000048400,"NAKHON SAWAN, TH",2014/2/20,,24.6
TH000048400,"NAKHON SAWAN, TH",2014/2/21,,26.1
TH000048400,"NAKHON SAWAN, TH",2014/2/22,,28
TH000048400,"NAKHON SAWAN, TH",2014/2/23,,29.4
TH000048400,"NAKHON SAWAN, TH",2014/2/24,,29.8
TH000048400,"NAKHON SAWAN, TH",2014/2/25,,29.4
TH000048400,"NAKHON SAWAN, TH",2014/2/26,,29.6
TH000048400,"NAKHON SAWAN, TH",2014/2/27,,29.6
TH000048400,"NAKHON SAWAN, TH",2014/2/28,,29.7
TH000048400,"NAKHON SAWAN, TH",2014/3/1,,29.8
TH000048400,"NAKHON SAWAN, TH",2014/3/2,,30.3
TH000048400,"NAKHON SAWAN, TH",2014/3/3,,30.3
TH000048400,"NAKHON SAWAN, TH",2014/3/4,,30.2
TH000048400,"NAKHON SAWAN, TH",2014/3/5,,30
TH000048400,"NAKHON SAWAN, TH",2014/3/6,,30.3
TH000048400,"NAKHON SAWAN, TH",2014/3/7,,29.7
TH000048400,"NAKHON SAWAN, TH",2014/3/8,,29.5
TH000048400,"NAKHON SAWAN, TH",2014/3/9,,30
TH000048400,"NAKHON SAWAN, TH",2014/3/10,,29.9
TH000048400,"NAKHON SAWAN, TH",2014/3/11,,30.9
TH000048400,"NAKHON SAWAN, TH",2014/3/12,,31
TH000048400,"NAKHON SAWAN, TH",2014/3/13,,31.2
TH000048400,"NAKHON SAWAN, TH",2014/3/14,,31.9
TH000048400,"NAKHON SAWAN, TH",2014/3/15,,31.5
TH000048400,"NAKHON SAWAN, TH",2014/3/16,0,31.3
TH000048400,"NAKHON SAWAN, TH",2014/3/17,22.9,28.6
TH000048400,"NAKHON SAWAN, TH",2014/3/18,0,30.9
TH000048400,"NAKHON SAWAN, TH",2014/3/19,,31.4
TH000048400,"NAKHON SAWAN, TH",2014/3/20,,31.7
TH000048400,"NAKHON SAWAN, TH",2014/3/21,,30.8
TH000048400,"NAKHON SAWAN, TH",2014/3/22,0,28.2
TH000048400,"NAKHON SAWAN, TH",2014/3/23,0,29
TH000048400,"NAKHON SAWAN, TH",2014/3/24,,30.7
