date, pm10, o3, no2
2022/3/1,37,13, 
2022/3/2,36,10, 
2022/3/3,33,9, 
2022/3/4,28,18, 
2022/3/5,32,19, 
2022/3/6,32,10, 
2022/3/7,27,8, 
2022/3/8,26,12, 
2022/3/9,36,12, 
2022/3/10,44,22, 
2022/3/11,48,31, 
2022/3/12,44,26, 
2022/3/13,35,25, 
2022/3/14,41,13, 
2022/3/15,42,29, 
2022/3/16,41,10, 
2022/3/17,35,15, 
2022/3/18,35,29, 
2022/3/19,37,27, 
2022/3/20,36,19, 
2022/3/21,35,9, 
2022/3/22, , , 
2022/2/1,31,24, 
2022/2/2,29,19, 
2022/2/3,36,18, 
2022/2/4,39,13, 
2022/2/5,33,12, 
2022/2/6,33,9, 
2022/2/7,28,11, 
2022/2/8,32,14, 
2022/2/9,29,6, 
2022/2/10,31,9, 
2022/2/11,26,19, 
2022/2/12,26,8, 
2022/2/13,26,10, 
2022/2/14,26,15, 
2022/2/15,32,11, 
2022/2/16,38,32, 
2022/2/17,33,20, 
2022/2/18,28,15, 
2022/2/19,37,18, 
2022/2/20,39,17, 
2022/2/21,35,19, 
2022/2/22,34,13, 
2022/2/23,28,10, 
2022/2/24,29,24, 
2022/2/25,31,14, 
2022/2/26,34,12, 
2022/2/27,39,12, 
2022/2/28,42,13, 
2022/1/3,28,11, 
2022/1/4,32,23, 
2022/1/5,31,18, 
2022/1/6,32,17, 
2022/1/7,32,15, 
2022/1/8,37,17, 
2022/1/9,36,19, 
2022/1/10,37,16, 
2022/1/11,38,21, 
2022/1/12,42,26, 
2022/1/13,43,28, 
2022/1/14,42,27, 
2022/1/15,42,24, 
2022/1/16,41,20, 
2022/1/17,44,23, 
2022/1/18,42,19, 
2022/1/19,41,23, 
2022/1/20,40,19, 
2022/1/21,35,23, 
2022/1/22,38,27, 
2022/1/23,39,32, 
2022/1/24,37,19, 
2022/1/25,33,22, 
2022/1/26,38,20, 
2022/1/27,41,28, 
2022/1/28,43,28, 
2022/1/29,38,31, 
2022/1/30,40,25, 
2022/1/31,34,22, 
2021/10/1,35,22, 
2021/10/2,41,47, 
2021/10/3,41,29, 
2021/10/4,40,16, 
2021/10/5,40,30, 
2021/10/6,36,28, 
2021/10/7,37,28, 
2021/10/8,37,25, 
2021/10/9,40,25, 
2021/10/10,34,21, 
2021/10/11,34,25, 
2021/10/12,44,31, 
2021/10/13,40,28, 
2021/10/14,42,29, 
2021/10/15,43,29, 
2021/10/16,46,23, 
2021/10/17,39,29, 
2021/10/18,40,32, 
2021/10/19,34,20, 
2021/10/20,31,23, 
2021/10/21,36,31, 
2021/10/22,42,29, 
2021/10/23,45,44, 
2021/10/24,41,29, 
2021/10/25,43,34, 
2021/10/26,42,24, 
2021/10/27,34,11, 
2021/10/28,34,18, 
2021/10/29,30,18, 
2021/10/30,36,24, 
2021/10/31,35,14, 
2021/11/1,37,14, 
2021/11/2,31,21, 
2021/11/3,36,33, 
2021/11/4,35,16, 
2021/11/5,36,30, 
2021/11/6,45,15, 
2021/11/7,41,10, 
2021/11/8,37,17, 
2021/11/9,32,9, 
2021/11/10,28,19, 
2021/11/11,30,17, 
2021/11/12,31,10, 
2021/11/13,32,29, 
2021/11/14,38,16, 
2021/11/15,41,18, 
2021/11/16,42,26, 
2021/11/17,45,21, 
2021/11/18,36,34, 
2021/11/19,34,22, 
2021/11/20,39,30, 
2021/11/21,39,26, 
2021/11/22,39,14, 
2021/11/23,42,3, 
2021/11/24,36,39, 
2021/11/25,33,35, 
2021/11/26,33,32, 
2021/11/27,32,30, 
2021/11/28,34,23, 
2021/11/29,36,29, 
2021/11/30,34,24, 
2021/12/1,35,21, 
2021/12/2,34,20, 
2021/12/3,32,27, 
2021/12/4,39,32, 
2021/12/5,37,30, 
2021/12/6,37,30, 
2021/12/7,39,25, 
2021/12/8,42,29, 
2021/12/9,37,23, 
2021/12/10,34,15, 
2021/12/11,37,20, 
2021/12/12,35,23, 
2021/12/13,40,23, 
2021/12/14,38,21, 
2021/12/15,37,34, 
2021/12/16,32,22, 
2021/12/17,31,21, 
2021/12/18,29,23, 
2021/12/19,29,25, 
2021/12/20,38,38, 
2021/12/21,40,28, 
2021/12/22,38,16, 
2021/12/23,35,14, 
2021/12/24,36,15, 
2021/12/25,37,17, 
2021/12/26,42,19, 
2021/12/27,38,18, 
